row_type,zone_id,zone_title,id,label,class,tier,status,route,stop_ids,special_lane,project_id,project_name,cost_band,effect,evidence_status
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,DFW,Dallas/Fort Worth,S2,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,SAT,San Antonio,S2,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,LRD,Laredo,S1,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,CRP,Corpus Christi,S2,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,ELP,El Paso,S2,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,PHX,Phoenix,S3,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,MCN,McAllen,S4?,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,TUC,Tucson,S4?,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,LBB,Lubbock,S4?,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,YUM,Yuma,S4?,,,,,,,,,,
stop,T3ZTEXASBORDER,Texas Border / Gulf Access,TUL,Tulsa,S3?,,,,,,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-10,I-10,,T1,passing,I-10,PHX;TUC;ELP;SAT,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-35,I-35,,T1,passing,I-35,DFW;SAT;LRD,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-20,I-20,,T2,passing,I-20,ELP;DFW,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-2,I-2,,T3,blocked,I-2,LRD;MCN;CRP,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-19,I-19,,T3,blocked,I-19,PHX;TUC,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-27,I-27,,T3,blocked,I-27,DFW;LBB,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-17,I-17,,T3,blocked,I-17,PHX;ELP,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,I-8,I-8,,T3,blocked,I-8,YUM;TUC;ELP,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,US-75,US-75,,T3,blocked,US-75,DFW;TUL,none,,,,,
line,T3ZTEXASBORDER,Texas Border / Gulf Access,US-77,US-77,,T3,blocked,US-77,SAT;CRP,dedicated-relay,managed-lane-pilot,Dedicated relay lane,corridor-specific,raises relay throughput and schedule reliability,heuristic-held
