row_type,zone_id,zone_title,id,label,class,tier,status,route,stop_ids,special_lane,project_id,project_name,cost_band,effect,evidence_status
stop,T3ZSOUTHEAST,Southeast / Appalachia,ATL,Atlanta,S2,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,BHM,Birmingham,S2,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,KNX,Knoxville,S3,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,JAX,Jacksonville,S2,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,SAV,Savannah,S3,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,HAR,Harrisburg,S2,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,AVL,Asheville,S4?,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,ORL,Orlando,S4?,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,CUM,Cumberland,S4?,,,,,,,,,,
stop,T3ZSOUTHEAST,Southeast / Appalachia,SC,State College,S4?,,,,,,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-75,I-75,,T1,passing,I-75,KNX;ATL,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-95,I-95,,T1,passing,I-95,SAV;JAX,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-81,I-81,,T1,passing,I-81,HAR;KNX,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-20,I-20,,T2,passing,I-20,BHM;ATL,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-16,I-16,,T3,blocked,I-16,ATL;SAV,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-26,I-26,,T3,blocked,I-26,KNX;AVL;SAV,incident-bypass,incident-bypass-lane,Incident bypass lane,moderate-capex,preserves movement during closures and work zones,scenario-candidate
line,T3ZSOUTHEAST,Southeast / Appalachia,I-4,I-4,,T3,blocked,I-4,JAX;ORL,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-68,I-68,,T3,blocked,I-68,HAR;CUM,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,I-99,I-99,,T3,blocked,I-99,HAR;SC,none,,,,,
line,T3ZSOUTHEAST,Southeast / Appalachia,US-220,US-220,,T3,blocked,US-220,CUM;AVL,none,,,,,
