route,endpoint_name,endpoint_role,exception_type,source_artifact,family_action,disposition,required_evidence,next_artifact,optimizer_effect,validation_status
I110,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,4 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I195,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,5 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I205,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,2 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I220,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,2 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I240,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,3 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I264,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,3 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I270,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,4 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I275,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,5 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I295,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,8 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I610,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,2 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I635,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,2 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I680,,service_diagnostic_route_family,route-family-segment-bundles-present,data/t2-service-diagnostic-queue.csv,split-numbered-service-family,segment-family-split-complete,3 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
I664,,service_diagnostic_route_family,route-family-segment-bundles-present,data/national-segment-bundles.csv,split-numbered-service-family,segment-family-split-complete,2 represented segment bundles emitted,data/beck-t2-diagnostics.csv,keeps state-scoped T2 segment families stable while Beck diagnostics are authored,pass
