plan_id,queue_id,route,zone_id,terminal_district,terminal_district_seed_source,contact_proof_source_family,contact_proof_source_artifact,required_proof_fields,acquisition_status,proof_blocker,next_artifact,validation_status
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI115,T4CONTACT-T3GREATLAKES-I115,I-115,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI176,T4CONTACT-T3GREATLAKES-I176,I-176,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI294,T4CONTACT-T3GREATLAKES-I294,I-294,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS41,T4CONTACT-T3GREATLAKES-US41,US41,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI271,T4CONTACT-T3GREATLAKES-I271,I-271,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI279,T4CONTACT-T3GREATLAKES-I279,I-279,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI471,T4CONTACT-T3GREATLAKES-I471,I-471,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS22,T4CONTACT-T3GREATLAKES-US22,US22,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS224,T4CONTACT-T3GREATLAKES-US224,US224,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS250,T4CONTACT-T3GREATLAKES-US250,US250,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS35,T4CONTACT-T3GREATLAKES-US35,US35,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS74,T4CONTACT-T3GREATLAKES-US74,US74,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI196,T4CONTACT-T3GREATLAKES-I196,I-196,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI496,T4CONTACT-T3GREATLAKES-I496,I-496,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI696,T4CONTACT-T3GREATLAKES-I696,I-696,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS10,T4CONTACT-T3GREATLAKES-US10,US10,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS223,T4CONTACT-T3GREATLAKES-US223,US223,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI129,T4CONTACT-T3GREATLAKES-I129,I-129,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI465,T4CONTACT-T3GREATLAKES-I465,I-465,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESUS31,T4CONTACT-T3GREATLAKES-US31,US31,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI235,T4CONTACT-T3GREATLAKES-I235,I-235,t3-great-lakes,Minneapolis Twin Cities,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI190,T4CONTACT-T3GREATLAKES-I190,I-190,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI390,T4CONTACT-T3GREATLAKES-I390,I-390,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI478,T4CONTACT-T3GREATLAKES-I478,I-478,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI691,T4CONTACT-T3GREATLAKES-I691,I-691,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
T4SOURCEPLAN-T4CONTACTT3GREATLAKESI990,T4CONTACT-T3GREATLAKES-I990,I-990,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,public-terminal-contact-proof,source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,terminal district seed is not route-to-terminal contact proof; acquire separate source,waves/2026-05-13-great-lakes-terminal-contact-sources/plans/pulse-02.md,review
