route,score,tier,confidence,score_confidence,confidence_label,score_confidence_label,review,risk_dimensions
I630,46.7,T3,0.70,0.71,Medium,Medium,false,A2:9.1@0.45;A3:7.4@0.55;B4:5.0@0.75
I515,40.6,T3,0.65,0.71,Medium,Medium,false,A3:10.0@0.55;A2:6.2@0.45;B4:5.0@0.75
I430,42.0,T3,0.70,0.72,Medium,Medium,false,A2:8.4@0.45;A3:4.4@0.55;B4:5.0@0.75
I610,69.4,T2,0.73,0.72,Medium,Medium,true,A3:10.0@0.55;D1:10.0@0.55;A2:5.1@0.45
I664,54.8,T2,0.68,0.72,Medium,Medium,true,D1:10.0@0.55;A3:9.4@0.55;B3:10.0@0.80
US217,20.7,T4,0.49,0.73,Low,Medium,false,C2:5.6@0.50;C3:6.3@0.80;B1:6.2@0.80
I675,45.5,T3,0.72,0.73,Medium,Medium,false,A3:10.0@0.55;A2:4.6@0.45;B3:8.0@0.80
US90Z,29.9,T4,0.53,0.73,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C3:5.1@0.80
I410,39.4,T3,0.64,0.73,Medium,Medium,false,A3:8.4@0.55;A2:3.1@0.45;B4:5.0@0.75
I310,36.9,T3,0.56,0.73,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;B4:5.0@0.75
US385,24.8,T4,0.49,0.73,Low,Medium,false,C2:6.0@0.50;B1:10.0@0.80;C3:5.4@0.80
I564,34.2,T3,0.68,0.73,Medium,Medium,false,D1:10.0@0.55;B3:10.0@0.80;B4:5.0@0.75
US460,36.4,T3,0.54,0.74,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C2:4.3@0.75
I220,53.2,T2,0.73,0.74,Medium,Medium,true,D1:10.0@0.55;B1:7.3@0.80;A3:3.2@0.55
I19,49.3,T3,0.71,0.74,Medium,Medium,false,C2:6.0@0.50;A4:8.0@0.75;B1:8.3@0.80
I215,45.0,T3,0.72,0.74,Medium,Medium,false,A3:8.7@0.55;A2:4.1@0.45;B3:7.4@0.80
