route,tier,score,constraint_adjusted_score,rank,selected,selected_stop_count,top_city_stop_count,sla_pair_count,budget_cost,hard_blocker_count,claim_blocker_count,constraint_debt_cost_m,lifecycle_debt_cost_m,constraint_penalty_score,top_constraint_classes,constraint_ledger_artifact,decision,reason,selected_stops,top_city_stops,sla_pairs
I95,T1,98.3,98.3,1,true,11,5,11,11,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-HAMPTON-ROADS;STOP-NY-NJ;STOP-MIA;STOP-BAL-PHL;STOP-BALTIMORE;STOP-JAX;STOP-RALEIGH;STOP-RIC;STOP-CAPITAL-BELTWAY;STOP-BOS;STOP-SAV,STOP-HAMPTON-ROADS;STOP-NY-NJ;STOP-MIA;STOP-BAL-PHL;STOP-BALTIMORE,NYC-LA-48;NYC-SFO-48;NYC-SEA-48;LA-DC-48;PHX-NYC-48;NYC-MIA-36;DFW-NYC-36;HOU-NYC-36;DEN-NYC-36;SLC-NYC-48;NYC-ATL-36
I5,T1,93.3,93.3,2,true,6,3,7,6,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-BLAINE;STOP-LA-LB;STOP-SD-TJ;STOP-PORTLAND;STOP-SAC;STOP-SEA,STOP-BLAINE;STOP-LA-LB;STOP-SD-TJ,NYC-LA-48;BOS-LA-48;LA-CHI-36;ATL-LA-48;JAX-LA-48;KC-LA-36;MEM-LA-36
I80,T1,89.8,89.8,3,true,9,3,11,9,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-NY-NJ;STOP-CHI-GARY;STOP-TOLEDO;STOP-SAC;STOP-SLC;STOP-OMAHA;STOP-SOUTH-BEND;STOP-CHEYENNE;STOP-DESMOINES,STOP-NY-NJ;STOP-CHI-GARY;STOP-TOLEDO,NYC-LA-48;NYC-SFO-48;NYC-SEA-48;BOS-LA-48;LA-CHI-36;HOU-CHI-36;SFO-CHI-36;ATL-SEA-48;MIA-CHI-36;SLC-NYC-48;KC-LA-36
I90,T1,84.6,84.6,4,true,8,3,5,8,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-CHI-GARY;STOP-TOLEDO;STOP-BILLINGS;STOP-RAPID-CITY;STOP-SEA;STOP-SOUTH-BEND;STOP-BOS;STOP-MILWAUKEE,STOP-CHI-GARY;STOP-TOLEDO;STOP-BILLINGS,NYC-SEA-48;BOS-LA-48;SEA-CHI-36;ATL-SEA-48;BOS-SEA-48
I10,T1,95.9,95.9,5,true,10,5,9,10,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-HOU;STOP-LA-LB;STOP-ELP-JRZ;STOP-SAT;STOP-GULFPORT;STOP-JAX;STOP-NOLA-BR;STOP-PHX;STOP-LAFAYETTE;STOP-MOBILE,STOP-HOU;STOP-LA-LB;STOP-ELP-JRZ;STOP-SAT;STOP-GULFPORT,LA-MIA-48;LA-DC-48;PHX-NYC-48;HOU-CHI-36;ATL-LA-48;JAX-LA-48;HOU-NYC-36;MEM-LA-36;HOU-LA-36
I75,T1,87.3,87.3,6,true,9,4,2,9,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-DETROIT;STOP-MIA;STOP-ATL;STOP-TOLEDO;STOP-CINCINNATI;STOP-CHATTANOOGA;STOP-KNOXVILLE;STOP-LEXINGTON;STOP-TAMPA,STOP-DETROIT;STOP-MIA;STOP-ATL;STOP-TOLEDO,LA-MIA-48;MIA-CHI-36
I70,T1,78.9,78.9,7,true,8,4,5,8,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-KC;STOP-STL;STOP-BALTIMORE;STOP-DEN;STOP-COLUMBUS;STOP-INDY;STOP-PITTSBURGH;STOP-HAGERSTOWN,STOP-KC;STOP-STL;STOP-BALTIMORE;STOP-DEN,PHX-NYC-48;DFW-NYC-36;HOU-NYC-36;DEN-NYC-36;KC-LA-36
I40,T1,78.7,78.7,8,true,10,2,3,10,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-MEM;STOP-BARSTOW;STOP-CLT;STOP-LITTLE-ROCK;STOP-NASHVILLE;STOP-OKC;STOP-RALEIGH;STOP-ABQ;STOP-KNOXVILLE;STOP-AMARILLO,STOP-MEM;STOP-BARSTOW,LA-DC-48;PHX-NYC-48;MEM-LA-36
I35,T1,81.5,81.5,9,true,9,4,4,9,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-LAREDO;STOP-DFW;STOP-KC;STOP-SAT;STOP-MSP;STOP-OKC;STOP-DESMOINES;STOP-WACO;STOP-AUS,STOP-LAREDO;STOP-DFW;STOP-KC;STOP-SAT,HOU-CHI-36;ATL-SEA-48;DFW-NYC-36;HOU-NYC-36
I20,T1,76.4,76.4,10,true,7,2,3,7,0,0,0.00,0.00,0.00,none,,select,sla-required-budget-fit,STOP-ATL;STOP-DFW;STOP-BIRMINGHAM;STOP-ABILENE;STOP-COLUMBIA-SC;STOP-JACKSON-MS;STOP-SHREVEPORT,STOP-ATL;STOP-DFW,ATL-LA-48;ATL-SEA-48;NYC-ATL-36
I69,T1,84.7,84.7,11,false,4,3,0,4,0,0,0.00,0.00,0.00,route_budget,data/optimizer-constraint-ledger.csv,reject-score-exception,score-exception-demoted,STOP-HOU;STOP-CHI-GARY;STOP-MEM;STOP-PADUCAH,STOP-HOU;STOP-CHI-GARY;STOP-MEM,
