rank,pair_id,origin_id,dest_id,target_hours,market_class,total_score,market_score,conversion_score,coverage_score,reuse_score,resilience_score,evidence_score,budget_penalty,portfolio_selected,selected_budget,cutline_status,cutline_reason,covered_by_selected_pair,required_routes,required_stops,evidence_basis,validation_status
1,NYC-LA-48,NYC,LA,48.0,coast-to-coast-air-substitution,98.0,25.0,24.0,18.0,16.0,9.0,6.0,0.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-95;I-80;I-5,NYC;CLEVELAND;CHI;OMAHA;SLC;RENO;SAC;LA,C.3 48-hour economy and C.1 NY-LA relay corridor,pass
2,NYC-SFO-48,NYC,SAC,48.0,coast-to-coast-air-substitution,92.0,24.0,22.0,17.0,16.0,8.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-95;I-80,NYC;CLEVELAND;CHI;OMAHA;SLC;RENO;SAC,C.3 parallel NY-San Francisco corridor,pass
3,NYC-SEA-48,NYC,SEA,48.0,coast-to-coast-air-substitution,91.0,23.0,22.0,18.0,15.0,8.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-95;I-80;I-90,NYC;CLEVELAND;CHI;OMAHA;SLC;SPK;SEA,C.3 parallel NY-Seattle corridor,pass
4,BOS-LA-48,BOS,LA,48.0,pharma-biotech-and-air-substitution,90.0,23.0,22.0,17.0,15.0,8.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-90;I-80;I-5,BOS;ALBANY;BUFFALO;CHI;OMAHA;SLC;RENO;SAC;LA,C.3 parallel Boston-Los Angeles corridor,pass
5,LA-CHI-36,LA,CHI,36.0,air-substitution-and-ecommerce,88.0,23.0,21.0,16.0,16.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-5;I-80,LA;SAC;RENO;SLC;OMAHA;CHI,C.3 largest domestic air cargo parallels,pass
6,LA-MIA-48,LA,MIA,48.0,perishables-pharma-and-latin-gateway,87.0,22.0,21.0,18.0,13.0,8.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10;I-75,LA;PHX;ELP;SAT;HOU;NOLA;JAX;MIA,C.3 coast-to-coast parallel plus port gateway logic,pass
7,LA-DC-48,LA,DC,48.0,southern-transcontinental-national-service,86.0,21.0,20.0,18.0,14.0,8.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10;I-40;I-95,LA;PHX;ABQ;OKC;MEM;NASHVILLE;KNOXVILLE;RALEIGH;DC,C.1 alternate route analysis plus T1 national promise coverage,pass
8,PHX-NYC-48,PHX,NYC,48.0,southwest-to-northeast-air-substitution,85.0,21.0,20.0,17.0,14.0,8.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10;I-40;I-70;I-95,PHX;ABQ;OKC;KC;STL;COLUMBUS;PENNSYLVANIA;NYC,C.3 Southwest high-growth market and C.1 reliability corridor logic,pass
9,SEA-CHI-36,SEA,CHI,36.0,air-substitution-and-agriculture,82.0,20.0,19.0,16.0,15.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-90,SEA;SPK;BIL;MIN;MADISON;CHI,C.3 Seattle-Chicago parallel and northern freight lane,pass
10,HOU-CHI-36,HOU,CHI,36.0,energy-industrial-and-ecommerce,81.0,20.0,19.0,16.0,14.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10;I-35;I-80,HOU;SAT;DAL;OKC;KC;DSM;CHI,C.1 HOU-CHI reliability corridor,pass
