docket_id,target_id,route,segment_bundle_id,bundle_status,service_class,service_repair_class,service_action,required_artifact,next_artifact,optimizer_effect,validation_status
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,I110,US.HWYBUNDLE.D6B01122CB05A1BA,bundle-ready,unclassified,local-zone,hold-local-relief-below-national-game-overlay,data/t3-t4-pressure-intake.csv,data/t3-zone-render-board.csv,keeps local relief treatment out of national T2 game overlay until zone role is explicit,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,I195,US.HWYBUNDLE.F09BBE026AC0506F,bundle-ready,unclassified,service-overlay,repair-service-overlay-before-game-ops-binding,data/game/t2-service-overlays.csv,data/t2-game-ops-binding-decisions.csv,keeps service-class-held row blocked until overlay metadata is usable,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,I205,US.HWYBUNDLE.23CC0D7CE82B5A66,bundle-ready,unclassified,local-zone,hold-local-relief-below-national-game-overlay,data/t3-t4-pressure-intake.csv,data/t3-zone-render-board.csv,keeps local relief treatment out of national T2 game overlay until zone role is explicit,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,I220,US.HWYBUNDLE.3940FBF995BBBC72,needs-stop-chain,unclassified,service-overlay,repair-service-overlay-before-game-ops-binding,data/game/t2-service-overlays.csv,data/t2-game-ops-binding-decisions.csv,keeps service-class-held row blocked until overlay metadata is usable,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE04673225D03E1ABF,I225,US.HWYBUNDLE.04673225D03E1ABF,bundle-ready,unclassified,local-zone,hold-local-relief-below-national-game-overlay,data/t3-t4-pressure-intake.csv,data/t3-zone-render-board.csv,keeps local relief treatment out of national T2 game overlay until zone role is explicit,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEA6BC2D367A84A052,I240,US.HWYBUNDLE.A6BC2D367A84A052,bundle-ready,unclassified,local-zone,hold-local-relief-below-national-game-overlay,data/t3-t4-pressure-intake.csv,data/t3-zone-render-board.csv,keeps local relief treatment out of national T2 game overlay until zone role is explicit,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE394EF7F995C7F302,I264,US.HWYBUNDLE.394EF7F995C7F302,needs-stop-chain,unclassified,local-zone,hold-local-relief-below-national-game-overlay,data/t3-t4-pressure-intake.csv,data/t3-zone-render-board.csv,keeps local relief treatment out of national T2 game overlay until zone role is explicit,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,I270,US.HWYBUNDLE.3951F9F995CA2C3F,needs-stop-chain,unclassified,service-overlay,repair-service-overlay-before-game-ops-binding,data/game/t2-service-overlays.csv,data/t2-game-ops-binding-decisions.csv,keeps service-class-held row blocked until overlay metadata is usable,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,I275,US.HWYBUNDLE.3951F4F995CA23C0,needs-stop-chain,unclassified,service-overlay,repair-service-overlay-before-game-ops-binding,data/game/t2-service-overlays.csv,data/t2-game-ops-binding-decisions.csv,keeps service-class-held row blocked until overlay metadata is usable,review
T2SERVICECLASSREPAIR-T2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2OVERLAYREPAIR-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,needs-stitched-members,unclassified,service-overlay,repair-service-overlay-before-game-ops-binding,data/game/t2-service-overlays.csv,data/t2-game-ops-binding-decisions.csv,keeps service-class-held row blocked until overlay metadata is usable,review
