route,source_surface,source_action,current_score,t1_feedback_class,t1_feedback_action,t1_sla_pair_count,t1_sla_pairs,required_evidence,next_artifact,optimizer_effect,validation_status
I110,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I15,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I195,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I205,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I22,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I220,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I225,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I24,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I240,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I25,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I264,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I270,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I275,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I285,t2-service-selection,parent-region-review,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I29,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I295,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I30,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I37,t2-service-selection,parent-region-review,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I405,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I44,t2-service-selection,parent-region-review,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I49,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I495,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I59,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I610,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I635,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I65,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I664,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I680,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I76,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
