interstate,railroad,railroad_owner,approx_parallel_miles,within_50mi,notes
I-80,Union Pacific Overland Route,UP,2800,true,"Primary UP transcontinental; Sacramento to Cheyenne; genuine freight alternate when I-80 closes"
I-90,BNSF Northern Transcon,BNSF,2400,true,"BNSF Seattle to Chicago; parallels I-90 through MT/WY/SD/MN"
I-40,BNSF Transcon (Southern),BNSF,2300,true,"BNSF Barstow-Needles-Amarillo-KC; primary southern transcontinental alternate"
I-10,Union Pacific Sunset Route,UP,2200,true,"UP LA to New Orleans; parallels I-10 Gulf Coast; key petrochemical freight alternate"
I-70,CSX National Gateway,CSX,1500,true,"CSX Baltimore-Columbus-St.Louis; parallels I-70 east segment"
I-35,BNSF/KCS Southern Corridor,BNSF/KCS,1400,true,"BNSF Fort Worth-KC and KCS Dallas-KC; parallels I-35 north of DFW"
I-5,BNSF/UP Pacific Coast,BNSF/UP,1200,true,"BNSF/UP LA-SF-Portland-Seattle; Coast Route parallels I-5"
I-95,Amtrak/CSX NEC + National,CSX,1800,true,"CSX RF&P and NEC parallels I-95 from Miami to Boston; densest freight/passenger corridor"
I-20,Union Pacific Texas,UP,1500,true,"UP Dallas-El Paso parallels I-20; connects to Sunset Route"
I-94,BNSF Northern Prairie,BNSF,1500,true,"BNSF Chicago-Fargo-Seattle parallels I-94 through ND/MN"
I-25,BNSF/UP Front Range,BNSF/UP,700,true,"BNSF/UP Denver-Pueblo and ABQ; parallels I-25 along Front Range"
I-75,CSX/NS Southeast,CSX/NS,1700,true,"CSX and NS parallel I-75 Detroit-Atlanta; auto parts corridor"
I-64,CSX/NS Shenandoah,CSX/NS,900,true,"CSX/NS parallels I-64 through WV/VA; coal corridor"
I-78,CSX/NS Mid-Atlantic,CSX/NS,140,false,"CSX/NS serve corridor but not within 50mi consistently"
I-90,UP Montana,UP,600,true,"UP parallels eastern I-90 MT segment; freight alternate in harsh winters"
