backlog_id,priority_class,blocker_family,tier,blocked_claims,subject_count,route_count,total_hard_blockers,total_claim_blockers,total_budget_debt_count,total_constraint_debt_cost_m,total_constraint_penalty_score,representative_routes,representative_subjects,next_artifacts,backlog_decision,next_wave,validation_status
ORB-P1-claim-blocker-T1-BECKSCHEMATICGEOMETRYSCHEMATICGEOMETRY,P1-claim-blocker,beck_schematic_geometry|schematic_geometry,T1,map;publication,4,4,0,8,0,0.0,12.0,I40;I80;I90;I95,I40;I80;I90;I95,data/t1-design-policy-actions.csv,triage-only-no-blocker-relief,optimizer-claim-review,review
ORB-P1-claim-blocker-T2-BECKTRANSFERCOMPLEXITY,P1-claim-blocker,beck_transfer_complexity,T2,map;promotion;publication,6,6,0,6,0,0.0,15.0,I65;I81;US30;US6;US70;US80,I65;I81;US30;US6;US70;US80,data/beck-t2-diagnostics.csv,triage-only-no-blocker-relief,optimizer-claim-review,review
ORB-P1-claim-blocker-T3-LOWERTIERFEEDERGAP,P1-claim-blocker,lower_tier_feeder_gap,T3,map;publication;upgrade,6,6,0,6,0,0.0,6.0,I-135;I-180;US22;US281;US74;US90Z,I-135;I-180;US22;US281;US74;US90Z,data/t3-zone-map-diagnostics.csv,triage-only-no-blocker-relief,optimizer-claim-review,review
ORB-P1-claim-blocker-T2-BECKLABELDENSITY,P1-claim-blocker,beck_label_density,T2,map;promotion;publication,5,5,0,5,0,0.0,1.43,I25;I285;I405;I49;I495,I25;I285;I405;I49;I495,data/beck-t2-diagnostics.csv,triage-only-no-blocker-relief,optimizer-claim-review,review
ORB-P1-claim-blocker-T2-BECKLONGCONNECTOR,P1-claim-blocker,beck_long_connector,T2,map;promotion;publication,3,3,0,3,0,0.0,3.0,I44;US83;US90,I44;US83;US90,data/beck-t2-diagnostics.csv,triage-only-no-blocker-relief,optimizer-claim-review,review
ORB-P1-claim-blocker-T2-GAMEOPSPUBLICATIONREADINESS,P1-claim-blocker,game_ops_publication_readiness,T2,game;publication;upgrade,3,0,0,3,0,0.0,3.0,,atlanta-managed-lane-stress;blueprint-hearing;houston-port-surge,data/game/t2-scenario-hooks.csv,triage-only-no-blocker-relief,optimizer-claim-review,review
ORB-P1-game-claim-T2-GAMEOPSBUNDLEBINDING,P1-game-claim,game_ops_bundle_binding,T2,game;incident;publication;sla;transit;upgrade,16,16,0,16,1,5.0,21.0,I110;I195;I205;I220;I225;I240;I264;I270;I275;I295;I37;I610,US.HWYBUNDLE.04673225D03E1ABF;US.HWYBUNDLE.151E853156D7ED4B;US.HWYBUNDLE.172214B51AB61796;US.HWYBUNDLE.174D6918A9C2A6B2;US.HWYBUNDLE.23CC0D7CE82B5A66;US.HWYBUNDLE.3940FBF995BBBC72;US.HWYBUNDLE.394EF7F995C7F302;US.HWYBUNDLE.3951F4F995CA23C0;US.HWYBUNDLE.3951F9F995CA2C3F;US.HWYBUNDLE.5BC12763752E2BEA;US.HWYBUNDLE.9CCA86DC1043AB18;US.HWYBUNDLE.A6BC2D367A84A052,data/game/t2-service-overlays.csv;data/national-segment-bundles.csv;data/tier-pavement-docket.csv,triage-only-no-blocker-relief,game-ops-blocker-evidence-review,review
ORB-P1-terminal-evidence-T4-TERMINALACCESSEVIDENCEGAP,P1-terminal-evidence,terminal_access_evidence_gap,T4,map;publication;upgrade,69,69,0,69,0,0.0,69.0,I-115;I-129;I-135;I-140;I-169;I-175;I-176;I-180;I-181;I-185;I-190;I-196,I-115;I-129;I-135;I-140;I-169;I-175;I-176;I-180;I-181;I-185;I-190;I-196,data/t4-terminal-contact-evidence.csv,triage-only-no-blocker-relief,terminal-access-evidence-review,review
ORB-P2-asset-debt-T2-ASSETCONDITIONDEBT,P2-asset-debt,asset_condition_debt,T2,publication;sla;transit;upgrade,12,9,0,0,12,90.95,90.95,I110;I220;US2;US287;US30;US6;US70;US80;US83,US.HWYBUNDLE.5F57C12B12BEE8A8;US.HWYBUNDLE.5FA9BA2B1304E6EB;US.HWYBUNDLE.621B7145F38F9B40;US.HWYBUNDLE.621B7445F38FA059;US.HWYBUNDLE.623A0A45F3A99CCA;US.HWYBUNDLE.62480245F3B5CC8E;US.HWYBUNDLE.9B011ADD0E34D674;US.HWYBUNDLE.D6B6E222CB0B708B;US.HWYBUNDLE.D6BA4122CB0E47CF;US.HWYBUNDLE.D6C11122CB1414ED;US.HWYBUNDLE.E4A6273E8ADBE8F1;US.HWYBUNDLE.E4A62B3E8ADBEFBD,data/tier-pavement-acquisition-plan.csv;data/tier-pavement-docket.csv,triage-only-no-blocker-relief,asset-condition-debt-repair,review
ORB-P2-source-evidence-all-SOURCEACQUISITIONSNAPSHOTGUARD,P2-source-evidence,source_acquisition_snapshot_guard,all,evidence;publication,1,0,0,1,0,0.0,1.0,,t1-live-event-snapshots,data/t1-evidence-windows.csv,triage-only-no-blocker-relief,source-evidence-acquisition,review
