inventory_id,source_id,source_family,inventory_method,inventory_status,field_name,field_type,field_alias,required_field_match,evidence_acceptance_status,blocked_claims,next_action
CAN-FIELD-CAN-SRC-001-001,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,OBJECTID,esriFieldTypeOID,OBJECTID,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-002,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,Shape,esriFieldTypeGeometry,Shape,candidate-geometry-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-003,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,Shape_Length,esriFieldTypeDouble,Shape_Length,candidate-geometry-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-004,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,id,esriFieldTypeString,Identifier,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-005,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,nid,esriFieldTypeString,Unique Identifier,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-006,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,type_code,esriFieldTypeSmallInteger,Type code,candidate-class-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-007,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,roadclass,esriFieldTypeString,Functional Road Classification,candidate-class-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-008,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtnumber1,esriFieldTypeString,Route Number 1,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-009,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtnumber2,esriFieldTypeString,Route Number 2,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-010,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtnumber3,esriFieldTypeString,Route Number 3,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-011,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtnumber4,esriFieldTypeString,Route Number 4,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-012,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtnumber5,esriFieldTypeString,Route Number 5,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-013,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtename1,esriFieldTypeString,Route Name 1,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-014,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtename2,esriFieldTypeString,Route Name 2,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-015,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtename3,esriFieldTypeString,Route Name 3,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-016,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,rtename4,esriFieldTypeString,Route Name 4,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-017,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,nbrlanes,esriFieldTypeSmallInteger,Number Of Lanes,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-018,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,pavstatus,esriFieldTypeString,Pavement Status,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-019,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,pavsurf,esriFieldTypeString,Paved Road Surface Type,candidate-class-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-020,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,unpavsurf,esriFieldTypeString,Unpaved Road Surface Type,candidate-class-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-021,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,trafficdir,esriFieldTypeString,Traffic Direction,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-022,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,speed,esriFieldTypeSmallInteger,Speed Restriction,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-023,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,exitnbr,esriFieldTypeString,Exit Number,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-024,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,closing,esriFieldTypeString,Closing Period,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-025,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,roadjuris,esriFieldTypeString,Road Jurisdiction,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-026,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,roadsegid,esriFieldTypeInteger,Road Segment Identifier,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-027,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,adrangenid,esriFieldTypeString,Address Range Unique Identifier,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-028,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,l_adddirfg,esriFieldTypeString,Address Range Digitizing Direction Flag Left,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-029,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,l_hnumf,esriFieldTypeInteger,First House Number Left,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-030,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,l_hnuml,esriFieldTypeInteger,Last House Number Left,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-031,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,l_placenam,esriFieldTypeString,Official Place Name Left,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-032,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,l_stname_c,esriFieldTypeString,Official Street Name Concatenated Left,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-033,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,r_adddirfg,esriFieldTypeString,Address Range Digitizing Direction Flag Right,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-034,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,r_hnumf,esriFieldTypeInteger,First House Number Right,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-035,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,r_hnuml,esriFieldTypeInteger,Last House Number Right,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-036,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,r_placenam,esriFieldTypeString,Official Place Name Right,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-037,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,r_stname_c,esriFieldTypeString,Official Street Name Concatenated Right,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-038,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,structid,esriFieldTypeString,Structure Identifier,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-039,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,structtype,esriFieldTypeString,Structure Type,candidate-class-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-040,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,struname,esriFieldTypeString,Structure Name,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-041,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,datasetnam,esriFieldTypeString,Dataset Name,candidate-route-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-042,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,accuracy,esriFieldTypeSmallInteger,Planimetric Accuracy,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-043,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,acqtech,esriFieldTypeString,Acquisition Technique,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-044,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,metacover,esriFieldTypeString,Coverage,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-045,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,provider,esriFieldTypeString,Provider,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-046,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,revdate,esriFieldTypeString,Revision Date,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-047,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,specvers,esriFieldTypeString,NHS Specification Version,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-048,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,credate,esriFieldTypeString,Creation Date,unmatched,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
CAN-FIELD-CAN-SRC-001-049,CAN-SRC-001,road_graph,esri-rest-layer-fields,field-candidate-not-accepted,desc_en,esriFieldTypeString,Road Type,candidate-class-field,not-accepted,official Canadian network route designation construction-ready engineering-precision SLA ROI eligibility compliance endorsement validation public-readiness or external-readiness claim,map candidate fields to parser output contract before extraction
