state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
minnesota,MN-SAMPLE-I94,I-94,Twin Cities,Fargo gateway,MnDOT,interstate,T1,R,Northwest trunk and winter freight reliability promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure recovery alternate-route penalty and freight continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
minnesota,MN-SAMPLE-I35,I-35,Duluth,Twin Cities,MnDOT,interstate,T1,R,Port-to-metro trunk and north-south service promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure winter operations and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
minnesota,MN-SAMPLE-US10,US 10,Twin Cities,Central Lakes,MnDOT,US-highway,T2,R,Central Minnesota connector and I-94 redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity truck suitability and winter fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
minnesota,MN-SAMPLE-MN23,MN 23,Southwest Minnesota,Duluth gateway,MnDOT,state-highway,T3,R,Rural cross-state access and agricultural continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes seasonal constraints and isolation penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
minnesota,MN-SAMPLE-PORT-DUL,Duluth port access,Duluth port,Duluth tier node,port-or-local,terminal-access,T4,,Great Lakes port terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory winter access constraints and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
minnesota,MN-SAMPLE-MAINT,example maintained lake-region state route,rural-a,rural-b,MnDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
wisconsin,WI-SAMPLE-I94,I-94,Milwaukee,Madison,WisDOT,interstate,T1,R,Southeast-to-capital trunk and manufacturing reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate congestion incident exposure and parallel state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
wisconsin,WI-SAMPLE-I39-I90,I-39/I-90,Illinois gateway,Wausau,WisDOT,interstate,T1,R,North-south trunk and interstate gateway promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter operations alternate-route penalty and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
wisconsin,WI-SAMPLE-PORT-MKE,Milwaukee port access,Port Milwaukee,Milwaukee tier node,port-or-local,terminal-access,T4,,Port terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction winter recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
wisconsin,WI-SAMPLE-WI29,WIS 29,Green Bay,Eau Claire,WisDOT,state-highway,T2,R,East-west state-system connector and northern freight role,SSF-002|SSF-004|SSF-006,heuristic-held,Validate rural/industrial access winter exposure and service-class continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
wisconsin,WI-SAMPLE-WI35,WIS 35,Mississippi River communities,La Crosse gateway,WisDOT,state-highway,T3,R,River corridor rural access and flood resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate flood exposure bridge constraints and rural isolation,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
wisconsin,WI-SAMPLE-MAINT,example maintained lake-country route,local-a,local-b,WisDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
virginia,VA-SAMPLE-I95,I-95,Northern Virginia,Richmond,VDOT,interstate,T1,R,Mid-Atlantic trunk and evacuation/freight reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure managed-lane dependency and US/state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
virginia,VA-SAMPLE-I64,I-64,Richmond,Hampton Roads,VDOT,interstate,T1,R,Capital-to-port/coastal trunk and evacuation promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate bridge/tunnel exposure storm evacuation and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
virginia,VA-SAMPLE-US29,US 29,Northern Virginia,Danville gateway,VDOT,US-highway,T2,R,Piedmont connector and I-95/I-81 load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity and freight suitability,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
virginia,VA-SAMPLE-US58,US 58,Southside Virginia,Hampton Roads,VDOT,US-highway,T3,R,Southside rural access and coastal connector candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes and evacuation support role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
virginia,VA-SAMPLE-PORT-HR,Hampton Roads port access,Hampton Roads terminals,Hampton Roads tier node,port-or-local,terminal-access,T4,,Port/tunnel terminal access and local freight friction candidate,SSF-005|SSF-007,source-needed,Validate port access constraints tunnel exposure and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
virginia,VA-SAMPLE-X,example restricted scenic/local route,local-a,local-b,state-or-local,restricted-local-road,X,,Outside current freight/service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting restricted local geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
louisiana,LA-SAMPLE-I10,I-10,Lake Charles,New Orleans,LaDOTD,interstate,T1,R,Gulf Coast trunk and hurricane/flood resilience promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate storm closure history alternate capacity and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
louisiana,LA-SAMPLE-I49,I-49,Lafayette,Shreveport,LaDOTD,interstate,T1,R,North-south trunk and inland evacuation/freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure evacuation role and state-route fallback,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
louisiana,LA-SAMPLE-US61,US 61,Baton Rouge,New Orleans,LaDOTD,US-highway,T2,R,River corridor connector and I-10 redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate river industrial access and service-class continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
louisiana,LA-SAMPLE-LA1,LA 1,Port Fourchon,Golden Meadow,LaDOTD,state-highway,T3,R,Coastal energy access and storm-isolation candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate coastal flood exposure emergency access and recovery expectations,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
louisiana,LA-SAMPLE-PORT-NOLA,New Orleans port access,Port of New Orleans,New Orleans tier node,port-or-local,terminal-access,T4,,Mississippi River port terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction flood exposure and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
