access_policy_id,acquisition_docket_id,route,candidate_segment_bundle_id,state_scope,source_owner,access_mode,live_fetch_status,required_source_metadata,cache_policy_artifact,source_access_blocker,evidence_artifact,acquisition_status,blocked_claims_before,blocked_claims_after,blocker_delta,next_artifact,validation_status
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBAB11FF37E74DA,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,FL,FL DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBE8A1FF3821B6C,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBE8A1FF3821B6C,I295,US.HWYBUNDLE.BCBE8A1FF3821B6C,GA,GA DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26E1FF39294E2,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26E1FF39294E2,I295,US.HWYBUNDLE.BCD26E1FF39294E2,MA,MA DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26A1FF3928E16,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26A1FF3928E16,I295,US.HWYBUNDLE.BCD26A1FF3928E16,ME,ME DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD64B1FF3964240,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD64B1FF3964240,I295,US.HWYBUNDLE.BCD64B1FF3964240,NJ,NJ DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD65E1FF3966289,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD65E1FF3966289,I295,US.HWYBUNDLE.BCD65E1FF3966289,NY,NY DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCDCA21FF39B41C3,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCDCA21FF39B41C3,I295,US.HWYBUNDLE.BCDCA21FF39B41C3,PA,PA DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCE7541FF3A4C4BE,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCE7541FF3A4C4BE,I295,US.HWYBUNDLE.BCE7541FF3A4C4BE,SC,SC DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCF1861FF3AD6E39,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCF1861FF3AD6E39,I295,US.HWYBUNDLE.BCF1861FF3AD6E39,VA,VA DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE151E853156D7ED4B,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE151E853156D7ED4B,I664,US.HWYBUNDLE.151E853156D7ED4B,NC,NC DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE1539B73156EF09F9,T2STITCHEDACQUIRE-T2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE1539B73156EF09F9,I664,US.HWYBUNDLE.1539B73156EF09F9,VA,VA DOT,manual-or-cached-source-needed,unsupported-no-safe-stitched-member-fetcher,source title; source url or cached artifact; capture date; route; state scope; route geometry statement,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,no safe live stitched-member route geometry fetch command exists; use manual/cached proof artifact or add policy-compliant fetcher,source-needed,source-needed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
