state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
ohio,OH-SAMPLE-I71,I-71,Cleveland,Columbus,ODOT,interstate,T1,R,3C trunk and statewide city-pair reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate bottleneck history and parallel state/US-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
ohio,OH-SAMPLE-I75,I-75,Toledo,Cincinnati,ODOT,interstate,T1,R,Manufacturing and southwest logistics trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure and Detroit/river gateway service role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
ohio,OH-SAMPLE-US33,US 33,Columbus,Appalachian Ohio,ODOT,US-highway,T2,R,Central-to-Appalachian connector and southeast access role,SSF-002|SSF-004|SSF-006,heuristic-held,Validate service-class continuity truck restrictions and rural access value,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
ohio,OH-SAMPLE-OH7,Ohio 7,Youngstown,Ohio River communities,ODOT,state-highway,T3,R,River valley and Appalachian access continuity,SSF-004|SSF-006,heuristic-held,Validate rural isolation bridge exposure and river-route recovery options,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
ohio,OH-SAMPLE-CVG-RIVER,Cincinnati river terminal access,Cincinnati river terminals,Cincinnati tier node,terminal-or-local,terminal-access,T4,,Ohio River terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory gate friction and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
ohio,OH-SAMPLE-MAINT,example maintained local state route,local-a,local-b,ODOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-carolina,NC-SAMPLE-I40,I-40,Asheville,Wilmington,NCDOT,interstate,T1,R,Statewide mountain-to-coast trunk and resilience promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate mountain closure coastal access and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-carolina,NC-SAMPLE-I85,I-85,Charlotte,Greensboro,NCDOT,interstate,T1,R,Piedmont urban and freight trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate congestion exposure and parallel US/state route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-carolina,NC-SAMPLE-US64,US 64,Research Triangle,Outer Banks gateway,NCDOT,US-highway,T2,R,Eastern/coastal connector and evacuation access role,SSF-002|SSF-004|SSF-006,heuristic-held,Validate coastal exposure bridge constraints and service-class limits,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-carolina,NC-SAMPLE-US74,US 74,Charlotte,Wilmington,NCDOT,US-highway,T2,R,South-state connector and port redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate freight suitability and alternate role to I-40/I-85,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-carolina,NC-SAMPLE-NC12,NC 12,Outer Banks communities,mainland tier node,NCDOT,state-highway,T3,R,Barrier-island rural access and storm resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate storm closure recovery evidence and isolation penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-carolina,NC-SAMPLE-PORT-WIL,Port of Wilmington access,Port of Wilmington,Wilmington tier node,port-or-local,terminal-access,T4,,Port terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
michigan,MI-SAMPLE-I75,I-75,Detroit,Mackinac/Sault gateway,MDOT,interstate,T1,R,Lower-to-northern Michigan trunk and bridge continuity promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate bridge closure exposure winter recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
michigan,MI-SAMPLE-I94,I-94,Detroit,Kalamazoo,MDOT,interstate,T1,R,Southern Michigan manufacturing trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure and state-route redundancy along southern belt,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
