dimension,name,total_risk,review_risk,corridors,review_corridors
D1,Climate Resilience,165.5,22.5,40,5
A3,Speed Reliability,109.5,17.0,35,5
B3,Port/Border Access,360.0,8.0,208,4
B4,Military/Strategic,305.6,6.4,233,5
A2,Freight Intensity,143.5,6.2,66,3
B1,Redundancy,159.1,3.9,116,3
C1,Population Reach,67.0,2.5,53,2
C2,Rural Connectivity,131.8,2.1,107,2
A1,Throughput Gap,6.0,2.0,6,2
C4,Agricultural Export,56.4,1.5,33,1
C3,Economic Opportunity,93.1,1.3,78,1
A4,International Trade,32.2,1.0,20,1
B2,Network Centrality,55.0,0.0,55,0
D2,Multimodal Integration,19.2,0.0,15,0
A5,Safety Record,11.5,0.0,8,0
D3,Infrastructure Vintage,3.7,0.0,3,0
