map_id,source_svg,png_path,width,height,export_command,current_posture,held_claims
intl-canada-candidate-hierarchy-v2,maps/international/canada-candidate-hierarchy-v2.svg,maps/international/canada-candidate-hierarchy-v2.png,1800,1080,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-canada-candidate-hierarchy,maps/international/canada-candidate-hierarchy.svg,maps/international/canada-candidate-hierarchy.png,1800,1080,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-canada-service-network,maps/international/canada-service-network.svg,maps/international/canada-service-network.png,1600,980,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-canada-source-custody-preflight,maps/international/canada-source-custody-preflight.svg,maps/international/canada-source-custody-preflight.png,1600,980,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-china-candidate-hierarchy-v2,maps/international/china-candidate-hierarchy-v2.svg,maps/international/china-candidate-hierarchy-v2.png,1700,1040,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-china-logistics-spine,maps/international/china-logistics-spine.svg,maps/international/china-logistics-spine.png,1600,980,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-eu-rhine-alpine-candidate-hierarchy-v2,maps/international/eu-rhine-alpine-candidate-hierarchy-v2.svg,maps/international/eu-rhine-alpine-candidate-hierarchy-v2.png,1700,1040,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-eu-rhine-alpine-region,maps/international/eu-rhine-alpine-region.svg,maps/international/eu-rhine-alpine-region.png,1600,980,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-india-candidate-hierarchy-v2,maps/international/india-candidate-hierarchy-v2.svg,maps/international/india-candidate-hierarchy-v2.png,1700,1040,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-india-logistics-spine,maps/international/india-logistics-spine.svg,maps/international/india-logistics-spine.png,1600,980,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-japan-candidate-hierarchy-v2,maps/international/japan-candidate-hierarchy-v2.svg,maps/international/japan-candidate-hierarchy-v2.png,1700,1040,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
intl-japan-pacific-belt,maps/international/japan-pacific-belt.svg,maps/international/japan-pacific-belt.png,1600,980,playwright chromium screenshot,png_preview_generated_from_svg,official_network|guaranteed_sla|construction|roi|eligibility|compliance|endorsement|external_validation|public_readiness
