action_id,delta_id,route,segment_bundle_id,replay_decision,service_action,readiness_disposition,optimizer_action,priority_class,action_status,blocked_claims_before,blocked_claims_after,blocker_delta,next_artifact,validation_status
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,held,repair-service-overlay-before-game-ops-binding,repair-needed,bundle-readiness-repair-review,P1-structural-readiness,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE9CCA86DC1043AB18,I37,US.HWYBUNDLE.9CCA86DC1043AB18,repair-needed,no-service-class-action-required,repair-needed,bundle-readiness-repair-review,P1-structural-readiness,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEF09BBE026AC0506F,I195,US.HWYBUNDLE.F09BBE026AC0506F,held,repair-service-overlay-before-game-ops-binding,no-readiness-disposition-required,service-overlay-diagnostic-review,P2-service-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/t2-game-ops-binding-decisions.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3940FBF995BBBC72,I220,US.HWYBUNDLE.3940FBF995BBBC72,held,repair-service-overlay-before-game-ops-binding,held,service-overlay-diagnostic-review,P2-service-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F9F995CA2C3F,I270,US.HWYBUNDLE.3951F9F995CA2C3F,held,repair-service-overlay-before-game-ops-binding,held,service-overlay-diagnostic-review,P2-service-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE3951F4F995CA23C0,I275,US.HWYBUNDLE.3951F4F995CA23C0,held,repair-service-overlay-before-game-ops-binding,held,service-overlay-diagnostic-review,P2-service-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE174D6918A9C2A6B2,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE174D6918A9C2A6B2,I635,US.HWYBUNDLE.174D6918A9C2A6B2,held,repair-service-overlay-before-game-ops-binding,held,service-overlay-diagnostic-review,P2-service-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE172214B51AB61796,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE172214B51AB61796,US2,US.HWYBUNDLE.172214B51AB61796,held,repair-service-overlay-before-game-ops-binding,held,service-overlay-diagnostic-review,P2-service-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-bundles.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLED6B01122CB05A1BA,I110,US.HWYBUNDLE.D6B01122CB05A1BA,held,hold-local-relief-below-national-game-overlay,no-readiness-disposition-required,local-zone-overlay-review,P3-local-zone-overlay,optimizer-held-known,game;incident;publication;sla;transit;upgrade,game;incident;publication;sla;transit;upgrade,0,data/t3-zone-render-board.csv,review
T2OVERLAYACTION-T2OVERLAYDELTAT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,T2OVERLAYDELTA-T2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE23CC0D7CE82B5A66,I205,US.HWYBUNDLE.23CC0D7CE82B5A66,held,hold-local-relief-below-national-game-overlay,no-readiness-disposition-required,local-zone-overlay-review,P3-local-zone-overlay,optimizer-held-known,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/t3-zone-render-board.csv,review
