route,selected,design_role,promise_count,selected_stop_count,top_city_stop_count,selector_reason,beck_action,beck_review_flag,overlap_corridors,design_status,next_design_action
I95,true,promise-spine,11,11,5,sla-required-budget-fit,overlap-review,overlap-review,I-40,policy-review,resolve-shared-segment-map-policy
I5,true,promise-spine,7,6,3,sla-required-budget-fit,keep,ok,,accepted,keep-in-t1-design
I80,true,promise-spine,11,9,3,sla-required-budget-fit,overlap-review,overlap-review,I-90,policy-review,resolve-shared-segment-map-policy
I90,true,promise-spine,5,8,3,sla-required-budget-fit,overlap-review,overlap-review,I-80,policy-review,resolve-shared-segment-map-policy
I10,true,promise-spine,9,10,5,sla-required-budget-fit,keep,ok,,accepted,keep-in-t1-design
I75,true,promise-spine,2,9,4,sla-required-budget-fit,keep,ok,,accepted,keep-in-t1-design
I70,true,promise-spine,5,8,4,sla-required-budget-fit,keep,ok,,accepted,keep-in-t1-design
I40,true,promise-spine,3,10,2,sla-required-budget-fit,overlap-review,overlap-review,I-95,policy-review,resolve-shared-segment-map-policy
I35,true,promise-spine,4,9,4,sla-required-budget-fit,keep,ok,,accepted,keep-in-t1-design
I20,true,promise-spine,3,7,2,sla-required-budget-fit,keep,ok,,accepted,keep-in-t1-design
I69,false,score-backbone-demoted,0,4,3,score-exception-demoted,missing-diagnostic,missing-diagnostic,,held,score-exception-demoted
I84,true,score-backbone-exception,0,3,0,score-ranked-budget-fit,keep,ok,,policy-review,justify-as-national-relay-or-demote-to-t2
I64,false,cutline-candidate,0,6,3,route-budget-exhausted,missing-diagnostic,missing-diagnostic,,held,hold-outside-current-budget
I94,false,cutline-candidate,0,6,3,route-budget-exhausted,missing-diagnostic,missing-diagnostic,,held,hold-outside-current-budget
I395,false,cutline-candidate,0,2,0,route-budget-exhausted,missing-diagnostic,missing-diagnostic,,held,hold-outside-current-budget
I55,false,cutline-candidate,0,4,2,route-budget-exhausted,missing-diagnostic,missing-diagnostic,,held,hold-outside-current-budget
I45,false,cutline-candidate,0,3,2,route-budget-exhausted,missing-diagnostic,missing-diagnostic,,held,hold-outside-current-budget
