port_name,lat,lon,rank_by_tonnage,type,notes
Port of South Louisiana,29.95,-90.42,1,port,"Largest by tonnage; Mississippi River corridor"
Port of Houston,29.73,-95.27,2,port,"Gulf Coast; Ship Channel; petroleum/chemicals"
Port of New York/New Jersey,40.65,-74.15,3,port,"Largest East Coast container port"
Port of New Orleans,29.95,-90.07,4,port,"Mississippi River; agricultural exports"
Port of Beaumont TX,30.08,-94.10,5,port,"Gulf Coast; petroleum"
Port of Corpus Christi TX,27.81,-97.40,6,port,"Gulf Coast; petroleum/LNG"
Port of Long Beach CA,33.75,-118.21,7,port,"Largest West Coast container port (LA/LB combined #2 national)"
Port of Los Angeles CA,33.73,-118.27,8,port,"West Coast container; combined with Long Beach"
Port of Lake Charles LA,30.22,-93.23,9,port;"Gulf Coast; petroleum"
Port of Texas City TX,29.39,-94.90,10,port,"Gulf Coast; refinery products"
Port of Plaquemines LA,29.40,-89.80,11,port,"Mississippi River delta"
Port of Baltimore MD,39.26,-76.58,12,port,"East Coast; auto/ro-ro; Chesapeake"
Port of Norfolk/Hampton Roads VA,36.89,-76.30,13,port,"East Coast; coal export; naval"
Port of Baton Rouge LA,30.44,-91.13,14,port,"Mississippi River; petrochemical"
Port of Seattle WA,47.59,-122.35,15,port,"Pacific Northwest; container"
Port of Tacoma WA,47.26,-122.42,16,port,"Pacific Northwest; container"
Port of Pittsburgh PA,40.44,-80.00,17,port,"Inland; Ohio River; steel"
Port of Cincinnati OH,39.10,-84.51,18,port,"Inland; Ohio River"
Port of Savannah GA,32.08,-81.10,19,port,"East Coast; fastest growing; container"
Port of Jacksonville FL,30.32,-81.65,20,port,"East Coast; auto/ro-ro"
Port of Philadelphia PA,39.95,-75.14,21,port,"Delaware River; bulk/break-bulk"
Port of Mobile AL,30.68,-88.04,22,port,"Gulf Coast; bulk"
Port of Memphis TN,35.15,-90.05,23,port,"Inland; Mississippi River; distribution hub"
Port of Portland OR,45.52,-122.68,24,port,"Pacific NW; grain; USDA top export terminal"
Port of Detroit MI,42.33,-83.05,25,port,"Great Lakes; auto parts; Canada border"
Laredo TX (I-35 border),27.51,-99.51,1,border,"#1 US land border crossing by trade value ($277B USMCA)"
El Paso TX (I-10 border),31.76,-106.49,2,border,"#2 US land border crossing"
San Diego CA/Tijuana (I-5 border),32.55,-117.05,3,border,"#3 US land border crossing; OTAY MESA"
Detroit MI (Ambassador Bridge),42.31,-83.07,4,border,"#4 US land border; I-75/I-94; Canada auto corridor"
Blaine WA (I-5 border),48.99,-122.75,5,border,"#5 US land border; Pacific Coast; Cascades"
Buffalo NY (Peace Bridge),42.90,-78.88,6,border,"I-190; US-Canada; Niagara corridor"
Pharr TX (I-2 border),26.19,-98.18,7,border,"Rio Grande Valley; produce imports"
Hidalgo TX (US-83 border),26.10,-98.26,8,border,"Growing USMCA crossing"
