state,sample_rows,t1_count,t2_count,t3_count,t4_count,r_overlay_count,m_count,x_count,heuristic_held_count,source_needed_count,metric_refs,primary_vectors,fit_decision,next_action,blocked_claims
alabama,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
arizona,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
arkansas,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
california,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
colorado,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
florida,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
georgia,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
idaho,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
illinois,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
indiana,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
