stop_id,name,state,lat,lon,requested_class,route_refs,stop_role,transfer_value,freight_volume,spacing_need,resilience_value,energy_service,land_ops_feasibility,equity_community,evidence_status,source_artifact,next_step
STOP-CHI-GARY,Chicago/Gary,IL/IN,41.87,-87.65,S2,"I-80; I-90; I-94; I-69","major_interchange_hub; relay_base; intermodal_gateway",high,high,met,high,planned,medium,review_needed,heuristic,"data/relay-hubs.toml; data/intermodal_terminals.csv","Validate site envelope and route-contact geometry for Gary/Chicago hub"
STOP-ATL,Atlanta,GA,33.75,-84.35,S2,"I-20; I-75; I-85; I-285","major_interchange_hub; southeast_transfer; bottleneck_relief",high,high,met,high,planned,low,required,heuristic,"data/relay-hubs.toml; data/atri-bottlenecks.csv; data/intermodal_terminals.csv","Validate managed transfer package and community exposure before S2 promotion"
STOP-MIA,Miami,FL,25.87,-80.31,S1,"I-75; I-95; US1","national_terminal; port_gateway; latin_america_gateway",high,high,met,medium,planned,medium,required,heuristic,"data/intermodal_terminals.csv","Validate PortMiami/airport intermodal role and whether the I-95/I-75 terminal should be Miami or South Florida"
STOP-JAX,Jacksonville,FL,30.32,-81.65,S2,"I-10; I-95; I-295","major_interchange_hub; port_gateway; storm_resilience",high,medium,met,high,planned,medium,review_needed,heuristic,"data/relay-hubs.toml; data/ports.csv; data/t1-intersections.md","Validate I-295 relief geometry and storm closure evidence"
STOP-LAREDO,Laredo/Nuevo Laredo Gateway,TX/MX,27.51,-99.51,S1,"I-35","national_terminal; border_gateway; usmca_gateway",high,high,met,medium,planned,medium,required,heuristic,"data/ports.csv; data/relay-hubs.toml","Validate border terminal naming, inspection constraints, and I-35 terminal service package"
STOP-SAT,San Antonio,TX,29.40,-98.52,S2,"I-10; I-35; I-37","major_interchange_hub; border_gateway_relay",high,high,met,medium,planned,medium,review_needed,heuristic,"data/relay-hubs.toml; data/ports.csv; data/intermodal_terminals.csv","Validate USMCA transfer demand and I-37 endpoint class"
STOP-CORPUS,Corpus Christi,TX,27.80,-97.40,S2,"I-37; US77","major_interchange_hub; gulf_port_gateway; south_texas_terminal",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Corpus Christi port role and I-37 terminal-worthy status"
STOP-SD-TJ,San Diego/Tijuana,CA/MX,32.55,-117.05,S1,"I-5","national_terminal; border_gateway",high,high,met,medium,planned,medium,required,heuristic,"data/ports.csv","Validate border freight volume, inspection constraints, and whether Otay Mesa should be the named terminal"
STOP-LA-LB,Los Angeles/Long Beach,CA,33.95,-118.20,S1,"I-5; I-10; I-15; I-110; I-405","national_terminal; port_gateway; local_loop_relief",high,high,met,high,planned,low,required,heuristic,"data/ports.csv; data/intermodal_terminals.csv; data/relay-hubs.toml","Separate S1 port terminal from S5 local loop stops and validate land envelope"
STOP-PHX,Phoenix,AZ,33.45,-112.07,S3,"I-10; I-17","transfer_stop; southwest_distribution; desert_service",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv; data/relay-hubs.toml","Validate Phoenix/Tucson service split and desert charging/weather support package"
STOP-ELP-JRZ,El Paso/Juarez Gateway,TX/MX,31.76,-106.49,S2,"I-10; US54; US62","major_interchange_hub; border_gateway; desert_relay",high,high,met,high,planned,medium,required,heuristic,"data/ports.csv","Validate border freight role, I-10 route-contact geometry, and whether stop should be S1 or S2"
STOP-HOU,Houston,TX,29.73,-95.38,S1,"I-10; I-45; I-69; I-610","national_terminal; port_gateway; gulf_relay",high,high,met,high,planned,medium,required,heuristic,"data/ports.csv; data/intermodal_terminals.csv; data/relay-hubs.toml","Validate whether I-610 is S5 local access or S2 relief loop component"
STOP-WACO,Waco/Temple,TX,31.55,-97.15,S3,"I-35; I-45","transfer_stop; texas_triangle_service; inland_relay",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate whether Waco/Temple is the right I-45/I-35 service midpoint or if Huntsville should anchor the stop"
STOP-AUS,Austin,TX,30.27,-97.74,S3,"I-35; SH130","transfer_stop; texas_triangle_service; congestion_relief",medium,medium,met,medium,planned,low,required,heuristic,"data/tier-table.csv","Validate whether Austin should be an I-35 named stop or remain a regional service stop"
STOP-DFW,Dallas/Fort Worth,TX,32.98,-97.32,S2,"I-35; I-20; I-30; I-45","major_interchange_hub; intermodal_gateway; texas_triangle",high,high,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Alliance/intermodal terminal role and split between Dallas and Fort Worth stop naming"
STOP-SHREVEPORT,Shreveport,LA,32.52,-93.75,S3,"I-20; I-49","transfer_stop; ark-la-tex_service; energy_logistics",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-20/I-49 transfer role and whether Shreveport remains S3"
STOP-JACKSON-MS,Jackson,MS,32.30,-90.18,S3,"I-20; I-55","transfer_stop; mississippi_crossroads",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-20/I-55 transfer and Mississippi distribution role"
STOP-BIRMINGHAM,Birmingham,AL,33.52,-86.81,S2,"I-20; I-22; I-65; I-59","major_interchange_hub; southeast_inland_hub; appalachian_gateway",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Birmingham multi-route transfer and S2 thin-line anchor role"
STOP-BARSTOW,Barstow/Inland Empire Gateway,CA,34.90,-117.02,S2,"I-15; I-40","major_interchange_hub; western_i40_terminal; desert_gateway",high,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-15/I-40 terminal geometry and whether LA/LB or Barstow should own the western I-40 terminal name"
STOP-ABQ,Albuquerque,NM,35.08,-106.65,S3,"I-25; I-40","transfer_stop; southwest_relay; desert_service",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-25/I-40 transfer geometry and desert service package"
STOP-AMARILLO,Amarillo,TX,35.22,-101.83,S3,"I-40; US287; US87","transfer_stop; plains_service; panhandle_relay",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Panhandle freight/service role and whether Amarillo remains S3"
STOP-OKC,Oklahoma City,OK,35.47,-97.52,S2,"I-35; I-40; I-44","major_interchange_hub; plains_crossroads",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-35/I-40/I-44 transfer role and Oklahoma City S2 hub package"
STOP-KC,Kansas City,MO/KS,39.12,-94.60,S2,"I-35; I-70; I-29; I-49","major_interchange_hub; intermodal_gateway; grain_belt_distribution",high,high,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Kansas City rail/truck terminal evidence and I-35/I-70/I-49 stop geometry"
STOP-DESMOINES,Des Moines,IA,41.59,-93.62,S3,"I-35; I-80","transfer_stop; plains_relay; diamond_resilience",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv; docs/game/des-moines-diamond-g0.md","Validate Des Moines as I-35/I-80 service stop versus full S2 hub"
STOP-MSP,Minneapolis/St. Paul,MN,44.98,-93.26,S2,"I-35; I-94","major_interchange_hub; intermodal_gateway; upper_midwest_terminal",high,medium,met,high,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Twin Cities I-35/I-94 transfer and northern terminal service package"
STOP-BILLINGS,Billings,MT,45.78,-108.50,S2,"I-90; I-94","major_interchange_hub; northern_plains_terminal; agricultural_logistics",high,medium,met,high,planned,medium,review_needed,heuristic,"data/relay-hubs.toml","Validate Billings as I-94 western terminal and I-90/I-94 northern plains transfer"
STOP-FARGO,Fargo/Moorhead,ND/MN,46.88,-96.79,S3,"I-29; I-94","transfer_stop; northern_plains_service; agricultural_gateway",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Fargo/Moorhead I-29/I-94 transfer and winter resilience service package"
STOP-MILWAUKEE,Madison/Milwaukee,WI,43.04,-87.91,S3,"I-90; I-94; I-43","transfer_stop; great_lakes_service; manufacturing_market",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate whether Madison and Milwaukee should be separate stops or one schematic Wisconsin stop"
STOP-SAC,Sacramento,CA,38.58,-121.49,S2,"I-5; I-80","major_interchange_hub; relay_base; donner_transfer",high,medium,met,high,planned,medium,review_needed,heuristic,"data/relay-hubs.toml","Validate I-5/I-80 transfer geometry and Donner Pass relay/resilience package"
STOP-DEN,Denver,CO,39.77,-104.87,S2,"I-25; I-70; US287","major_interchange_hub; mountain_west_logistics; resilience_gateway",high,medium,met,high,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv; data/hazard_zones.csv","Validate I-25/I-70 hub role, US287 connector value, and mountain/weather service need"
STOP-MEM,Memphis,TN,35.15,-90.05,S2,"I-22; I-40; I-55; I-69","major_interchange_hub; intermodal_gateway; river_port",high,high,met,medium,planned,medium,review_needed,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Validate route-contact graph gaps for I-22/I-55/I-69 and confirm Memphis S2 hub package"
