route,region_id,segment_bundle_id,bundle_status,selection_action,selection_basis,diagnostic_status,service_diagnostic_action,required_artifact,next_artifact,optimizer_effect,validation_status
I195,component-0,US.HWYBUNDLE.F09BBE026AC0506F,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I195,component-0,US.HWYBUNDLE.F09EAF026AC26CC9,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I195,component-0,US.HWYBUNDLE.F09EB3026AC27395,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I195,component-0,US.HWYBUNDLE.F0E68B026AFFE540,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I195,component-0,US.HWYBUNDLE.F0ECD7026B04D212,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I205,component-0,US.HWYBUNDLE.23CC0D7CE82B5A66,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I205,component-0,US.HWYBUNDLE.23F5647CE84EF34F,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I225,component-0,US.HWYBUNDLE.04673225D03E1ABF,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I240,component-0,US.HWYBUNDLE.A6BC2D367A84A052,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I240,component-0,US.HWYBUNDLE.A6D02C367A9547A9,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I240,component-0,US.HWYBUNDLE.A70335367AC0B08D,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I264,component-0,US.HWYBUNDLE.C740F0B537C1EA7F,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I264,component-0,US.HWYBUNDLE.C74B15B537CA7DE3,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I264,component-0,US.HWYBUNDLE.C79302B53808133D,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I270,component-0,US.HWYBUNDLE.A40F27089C750A5D,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I270,component-0,US.HWYBUNDLE.A43108089C91BC16,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I270,component-0,US.HWYBUNDLE.A437E8089C97A464,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I270,component-0,US.HWYBUNDLE.A456F5089CB26B0A,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I275,component-0,US.HWYBUNDLE.85D295DEEED14174,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I275,component-0,US.HWYBUNDLE.85EE3CDEEEE924F1,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I275,component-0,US.HWYBUNDLE.85F197DEEEEBF569,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I275,component-0,US.HWYBUNDLE.85F872DEEEF1D538,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I275,component-0,US.HWYBUNDLE.860579DEEEFC6B79,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCBE8A1FF3821B6C,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCD26A1FF3928E16,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCD26E1FF39294E2,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCD64B1FF3964240,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCD65E1FF3966289,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCDCA21FF39B41C3,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCE7541FF3A4C4BE,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I295,component-0,US.HWYBUNDLE.BCF1861FF3AD6E39,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I610,component-0,US.HWYBUNDLE.D8EE014E5CDAA7BA,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I610,component-0,US.HWYBUNDLE.D93F2A4E5D1F448D,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I635,component-0,US.HWYBUNDLE.E0084DC6C395DCCC,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I635,component-0,US.HWYBUNDLE.E01956C6C3A45F4A,bundle-ready,source-needed,missing-beck-t2-diagnostic,beck-diagnostic-missing,author-beck-t2-diagnostic-before-map-overlay,data/t2-service-selection.csv,data/beck-t2-diagnostics.csv,holds bundle-ready T2 route below map/game service until Beck service class exists,review
I664,component-0,US.HWYBUNDLE.1539B73156EF09F9,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I680,component-0,US.HWYBUNDLE.5BC12763752E2BEA,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I680,component-0,US.HWYBUNDLE.5BCADF6375360617,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
I680,component-0,US.HWYBUNDLE.5BCE38637538D329,bundle-ready,source-needed,missing-beck-t2-diagnostic,local-relief-map-review,hold-local-relief-below-national-beck-map,data/t2-service-selection.csv,data/t3-t4-pressure-intake.csv,keeps review-treatment relief service below map/game overlay until local or zone role is explicit,review
