proof_intake_id,access_policy_id,route,candidate_segment_bundle_id,state_scope,required_artifact_fields,required_geometry_statement,proof_artifact,proof_status,proof_blocker,blocked_claims_before,blocked_claims_after,blocker_delta,next_artifact,validation_status
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBAB11FF37E74DA,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBAB11FF37E74DA,I295,US.HWYBUNDLE.BCBAB11FF37E74DA,FL,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBE8A1FF3821B6C,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCBE8A1FF3821B6C,I295,US.HWYBUNDLE.BCBE8A1FF3821B6C,GA,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26E1FF39294E2,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26E1FF39294E2,I295,US.HWYBUNDLE.BCD26E1FF39294E2,MA,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26A1FF3928E16,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD26A1FF3928E16,I295,US.HWYBUNDLE.BCD26A1FF3928E16,ME,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD64B1FF3964240,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD64B1FF3964240,I295,US.HWYBUNDLE.BCD64B1FF3964240,NJ,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD65E1FF3966289,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCD65E1FF3966289,I295,US.HWYBUNDLE.BCD65E1FF3966289,NY,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCDCA21FF39B41C3,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCDCA21FF39B41C3,I295,US.HWYBUNDLE.BCDCA21FF39B41C3,PA,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCE7541FF3A4C4BE,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCE7541FF3A4C4BE,I295,US.HWYBUNDLE.BCE7541FF3A4C4BE,SC,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCF1861FF3AD6E39,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLEBCBAB11FF37E74DAUSHWYBUNDLEBCF1861FF3AD6E39,I295,US.HWYBUNDLE.BCF1861FF3AD6E39,VA,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE151E853156D7ED4B,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE151E853156D7ED4B,I664,US.HWYBUNDLE.151E853156D7ED4B,NC,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
T2STITCHEDPROOF-T2STITCHEDACCESST2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE1539B73156EF09F9,T2STITCHEDACCESS-T2STITCHEDACQUIRET2STITCHEDEVIDENCET2STITCHEDSELECTT2STITCHEDSPLITT2STITCHEDDECISIONT2STITCHEDSCOPET2STITCHEDREGISTRYHANDOFFT2NATIONALBUNDLEAUDITT2BUNDLEREADINESSREPLAYT2BUNDLEREADINESSEVIDENCET2BUNDLEREADINESSREPAIRT2BUNDLEREADINESST2OVERLAYREPAIRT2GAMEOPSDECISIONT2GAMEOPSINTAKECBT2BUNDLEUSHWYBUNDLE151E853156D7ED4BUSHWYBUNDLE1539B73156EF09F9,I664,US.HWYBUNDLE.1539B73156EF09F9,VA,source title; source url or cached artifact; capture date; route; state scope; source owner,route geometry statement explaining continuity with the blocked stitched service,source-needed,source-needed,manual or cached route-geometry proof artifact has not been captured or reviewed,game;incident;publication;upgrade,game;incident;publication;upgrade,0,data/national-segment-registry.csv,review
