RANK,LOCATION,ROUTE,STATE,ANNUAL_COST_M,LAT,LON
1,I-285/I-20 interchange Atlanta,I285,GA,916,33.748,-84.462
2,I-95/SR-4 Fort Lee NJ,I95,NJ,848,40.855,-73.974
3,I-95/I-695 Baltimore Beltway,I95,MD,812,39.298,-76.635
4,I-285/I-85 interchange Atlanta,I285,GA,789,33.815,-84.348
5,I-95/I-476 Philadelphia,I95,PA,762,39.924,-75.289
6,I-10/I-110 Los Angeles,I10,CA,731,34.022,-118.255
7,I-270/I-70 St Louis,I270,MO,698,38.762,-90.475
8,I-75/I-285 interchange Atlanta,I75,GA,687,33.882,-84.470
9,I-95/I-395/I-695 Baltimore,I95,MD,654,39.252,-76.614
10,I-80/I-94 Chicago Southland,I80,IL,641,41.724,-87.864
11,I-90/I-94 Chicago downtown,I90,IL,628,41.895,-87.651
12,I-75/I-85 Atlanta connector,I75,GA,617,33.787,-84.388
13,I-35/I-35E Dallas,I35,TX,598,32.784,-96.844
14,I-95/I-495 DC Beltway,I95,MD,581,38.961,-77.051
15,I-15/I-215 Salt Lake City,I15,UT,541,40.718,-111.891
16,I-35/I-410 San Antonio south,I35,TX,518,29.533,-98.582
17,I-10/I-610 Houston,I10,TX,497,29.764,-95.470
18,I-78/I-287 New Jersey,I78,NJ,483,40.608,-74.531
19,I-75/I-275 Cincinnati,I75,OH,462,39.172,-84.508
20,I-405/SR-55 Los Angeles,I405,CA,448,33.683,-117.906
21,I-25/I-70 Denver,I25,CO,441,39.754,-104.982
22,I-80/I-680 Bay Area Cordelia,I80,CA,428,37.892,-122.058
23,I-94/I-894 Milwaukee,I94,WI,417,43.010,-88.020
24,I-90/I-290 Chicago Eisenhower,I90,IL,409,41.912,-87.809
25,I-635/US-69 Kansas City,I635,KS,395,39.018,-94.672
26,I-95/I-695 Baltimore south,I95,MD,388,39.207,-76.656
27,I-40/I-240 Oklahoma City,I40,OK,371,35.460,-97.576
28,I-5/SR-14 Los Angeles,I5,CA,362,34.053,-118.203
29,I-35/I-30 Fort Worth,I35,TX,354,32.761,-97.021
30,I-75/I-675 Dayton,I75,OH,343,39.688,-84.173
31,I-90/I-190 Chicago OHare,I90,IL,337,41.986,-87.888
32,I-95/I-695 Providence,I95,RI,328,41.817,-71.435
33,I-40/I-440 Nashville,I40,TN,319,36.165,-86.780
34,I-20/I-26 Columbia SC,I20,SC,307,34.017,-81.034
35,I-15/I-215 Las Vegas,I15,NV,298,36.138,-115.147
36,I-465/I-70 Indianapolis,I465,IN,289,39.771,-86.270
37,I-90 Spokane,I90,WA,281,47.658,-117.418
38,I-75/I-475 Toledo,I75,OH,274,41.600,-83.734
39,I-5/I-405 Seattle,I5,WA,268,47.436,-122.281
40,I-70/I-270 Columbus,I70,OH,261,39.996,-82.845
41,I-35/I-35W Fort Worth split,I35,TX,254,32.748,-97.290
42,I-10/I-17 Phoenix Stack,I10,AZ,247,33.453,-112.072
43,I-85/I-285 Atlanta south,I85,GA,241,33.607,-84.433
44,I-4/I-75 Tampa,I4,FL,234,27.983,-82.442
45,I-95/I-195 Providence south,I95,RI,228,41.786,-71.415
46,I-30/I-635 East Dallas,I30,TX,221,32.827,-96.637
47,I-90/I-94 Milwaukee east,I90,WI,215,43.042,-87.916
48,I-15/I-70 Salt Lake City,I15,UT,209,40.763,-111.891
49,I-440/I-40 Raleigh,I440,NC,203,35.793,-78.784
50,I-25/I-225 Denver south,I25,CO,197,39.658,-104.862
