state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
kansas,KS-SAMPLE-I70,I-70,Colorado gateway,Missouri gateway,KDOT,interstate,T1,R,East-west plains trunk and Kansas City gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate weather closure incident exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kansas,KS-SAMPLE-I35,I-35,Oklahoma gateway,Kansas City gateway,KDOT,interstate,T1,R,North-south trunk and Wichita to Kansas City service promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure work-zone risk and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kansas,KS-SAMPLE-US54,US 54,Liberal,Wichita,KDOT,US-highway,T2,R,Southwest Kansas agriculture and energy connector candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck reliability service-class continuity and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kansas,KS-SAMPLE-US83,US 83,Nebraska gateway,Oklahoma gateway,KDOT,US-highway,T3,R,Western Kansas rural continuity and north-south access candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes severe-weather exposure and sparse-access penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kansas,KS-SAMPLE-RAIL-TERMINAL,agricultural terminal access,western Kansas freight district,Dodge City tier node,terminal-or-local,terminal-access,T4,,Agricultural terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kansas,KS-SAMPLE-MAINT,example maintained rural state route,rural-a,rural-b,KDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nebraska,NE-SAMPLE-I80,I-80,Wyoming gateway,Iowa gateway,NDOT,interstate,T1,R,Statewide east-west trunk and Platte corridor freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate winter closure incident exposure and detour capacity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nebraska,NE-SAMPLE-US81,US 81,Kansas gateway,South Dakota gateway,NDOT,US-highway,T1,R,North-south statewide connector and agriculture freight promise,SSF-001|SSF-002|SSF-004,heuristic-held,Validate truck continuity service class and cross-state gateway role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nebraska,NE-SAMPLE-US275,US 275,Omaha,Norfolk,NDOT,US-highway,T2,R,Northeast regional market connector and I-80 load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate regional demand incident exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nebraska,NE-SAMPLE-US83,US 83,Kansas gateway,South Dakota gateway,NDOT,US-highway,T3,R,Western Nebraska rural continuity and sparse-service access candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes weather exposure and emergency access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
