terminal_name,city,state,lat,lon,type,notes
Chicago Intermodal Complex,Chicago,IL,41.87,-87.65,rail-truck,"BNSF/UP primary hub; largest intermodal volume nationally"
Los Angeles/Long Beach,Los Angeles,CA,33.95,-118.20,port-rail-truck,"Port of LA/LB; BNSF/UP connection; #1 container port"
Memphis Intermodal,Memphis,TN,35.20,-90.05,rail-truck,"BNSF/CN/CSX hub; geographic center for South-Midwest"
Dallas Alliance,Fort Worth,TX,32.98,-97.32,rail-truck,"Burlington Northern Santa Fe; major inland hub"
Atlanta Hulsey,Atlanta,GA,33.75,-84.35,rail-truck,"CSX primary SE terminal; I-20/I-85 proximity"
Kansas City Gateway,Kansas City,MO,39.12,-94.60,rail-truck,"BNSF/KCS/UP convergence; grain belt distribution"
Columbus South,Columbus,OH,39.95,-82.95,rail-truck,"CSX; major I-70/I-71 corridor node"
Charlotte Intermodal,Charlotte,NC,35.21,-80.84,rail-truck,"Norfolk Southern; SE Atlantic distribution"
Seattle BNSF,Seattle,WA,47.58,-122.33,port-rail-truck,"BNSF Pacific NW terminal; Port of Seattle feeder"
Denver Logistics Hub,Denver,CO,39.77,-104.87,rail-truck,"BNSF/UP; Mountain West distribution center"
Houston Englewood,Houston,TX,29.73,-95.38,port-rail-truck,"UP primary; Port of Houston feeder; USMCA"
New York Fresh Pond,Queens,NY,40.71,-73.85,rail-truck,"CSX; NY metro area last-mile"
Louisville KentuckyOne,Louisville,KY,38.22,-85.75,air-truck,"UPS Worldport adjacent; I-65/I-64 hub"
Philadelphia Frankford,Philadelphia,PA,40.02,-75.08,rail-truck,"CSX; I-95 corridor NE"
St. Louis Gateway,St. Louis,MO,38.65,-90.30,rail-truck,"BNSF/UP/CN convergence; Mississippi River crossing"
Minneapolis Twin Cities,Minneapolis,MN,44.98,-93.26,rail-truck,"BNSF/CP; I-94/I-35 regional hub"
Savannah Garden City,Savannah,GA,32.10,-81.15,port-rail-truck,"CSX; Port of Savannah; fastest growing"
New Orleans Gentilly,New Orleans,LA,30.00,-89.95,port-rail-truck,"UP/CN; Port of New Orleans; export hub"
Phoenix Sky Harbor area,Phoenix,AZ,33.45,-112.07,rail-truck,"UP Tucson-Phoenix corridor; Southwest hub"
Portland Albina,Portland,OR,45.57,-122.67,port-rail-truck,"UP/BNSF; Port of Portland; Columbia River"
San Antonio Kirby,San Antonio,TX,29.40,-98.52,rail-truck,"UP; I-35 USMCA corridor; Laredo feeder"
Indianapolis Avon,Indianapolis,IN,39.75,-86.40,rail-truck,"CSX/NS; I-70/I-65 crossroads"
Detroit Livernois,Detroit,MI,42.33,-83.07,port-rail-truck,"CSX; Ambassador Bridge auto parts"
Miami Hialeah,Miami,FL,25.87,-80.31,port-rail-truck,"CSX; Port of Miami; Latin America trade"
Salt Lake City,Salt Lake City,UT,40.76,-111.90,rail-truck,"UP; I-80/I-15 crossroads; Western hub"
