state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
iowa,IA-SAMPLE-I80-WEST,I-80,Council Bluffs,Des Moines,Iowa DOT,interstate,T1,R,Statewide east-west trunk and national freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Replace sample row with source segment geometry incident history and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-I80-EAST,I-80,Des Moines,Quad Cities,Iowa DOT,interstate,T1,R,Statewide east-west trunk and Mississippi River gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Replace sample row with source segment geometry incident history and river-crossing resilience evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-I35-NORTH,I-35,Des Moines,Mason City,Iowa DOT,interstate,T1,R,North-south trunk promise and winter operations exposure,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure history and Des Moines interchange exposure,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-I35-SOUTH,I-35,Des Moines,Missouri gateway,Iowa DOT,interstate,T1,R,Southbound trunk and regional gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate alternate-route penalty and incident exposure,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-US20,US 20,Sioux City,Dubuque,Iowa DOT,US-highway,T2,R,Northern regional connector and interstate load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate full-state source geometry and truck/service constraints,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-US30,US 30,Council Bluffs,Clinton,Iowa DOT,US-highway,T2,R,Central-state alternate and regional market connector,SSF-002|SSF-003|SSF-004,heuristic-held,Validate parallel role against I-80 and bridge/urban constraints,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-US61,US 61,Davenport,Burlington,Iowa DOT,US-highway,T2,R,Eastern river corridor and Mississippi gateway connector,SSF-004|SSF-006|SSF-007,heuristic-held,Validate river crossing and southeast access evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-US63,US 63,Waterloo,Ottumwa,Iowa DOT,US-highway,T3,R,Rural and regional access connector,SSF-004|SSF-006,heuristic-held,Validate rural service nodes and isolation penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-IA9,Iowa 9,Northwest Iowa,Northeast Iowa,Iowa DOT,state-highway,T3,R,Northern rural access continuity candidate,SSF-004|SSF-006,heuristic-held,Replace sample with state route inventory and winter access evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-AIRPORT-DSM,DSM airport access,Des Moines airport,Des Moines tier node,local-or-airport,terminal-access,T4,,Airport terminal access and local friction candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory access constraints and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SAMPLE-LOW-VOLUME,example low-volume state segment,local-a,local-b,Iowa DOT,state-highway,M,,Maintained state route with no promoted service role in sample,SSF-008,source-needed,Keep in full inventory and document why no service role is selected,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
