route,stop_sequence,stop_id,stop_name,requested_class,selector_weight,split_objective,target_regions,metis_region,boundary_after,evidence_status,validation_status
I95,1,STOP-MIA,Miami,S1,599,hybrid-service,4,0,false,heuristic,pass
I95,2,STOP-JAX,Jacksonville,S2,494,hybrid-service,4,0,true,heuristic,pass
I95,3,STOP-SAV,Savannah,S3,386,hybrid-service,4,1,false,heuristic,pass
I95,4,STOP-RALEIGH,Research Triangle/Raleigh,S2,486,hybrid-service,4,1,true,heuristic,pass
I95,5,STOP-HAMPTON-ROADS,Norfolk/Hampton Roads,S1,607,hybrid-service,4,2,false,heuristic,pass
I95,6,STOP-RIC,Richmond,S2,486,hybrid-service,4,2,false,heuristic,pass
I95,7,STOP-CAPITAL-BELTWAY,Washington Capital Beltway,S2,483,hybrid-service,4,2,true,heuristic,pass
I95,8,STOP-BALTIMORE,Baltimore/Washington Gateway,S2,495,hybrid-service,4,3,false,heuristic,pass
I95,9,STOP-BAL-PHL,Baltimore/Philadelphia,S2,495,hybrid-service,4,3,false,heuristic,pass
I95,10,STOP-NY-NJ,New York/New Jersey,S1,603,hybrid-service,4,3,false,heuristic,pass
I95,11,STOP-BOS,Boston,S2,482,hybrid-service,4,3,false,heuristic,pass
I5,1,STOP-SD-TJ,San Diego/Tijuana,S1,599,hybrid-service,4,0,true,heuristic,pass
I5,2,STOP-LA-LB,Los Angeles/Long Beach,S1,603,hybrid-service,4,1,true,heuristic,pass
I5,3,STOP-SAC,Sacramento,S2,494,hybrid-service,4,2,false,heuristic,pass
I5,4,STOP-PORTLAND,Portland,S2,494,hybrid-service,4,2,true,heuristic,pass
I5,5,STOP-SEA,Seattle,S2,494,hybrid-service,4,3,false,heuristic,pass
I5,6,STOP-BLAINE,Blaine/Vancouver Gateway,S1,607,hybrid-service,4,3,false,heuristic,pass
I80,1,STOP-SAC,Sacramento,S2,494,hybrid-service,4,0,false,heuristic,pass
I80,2,STOP-SLC,Salt Lake City,S2,494,hybrid-service,4,0,false,heuristic,pass
I80,3,STOP-CHEYENNE,Cheyenne/Laramie,S3,382,hybrid-service,4,0,true,heuristic,pass
I80,4,STOP-OMAHA,Omaha/Council Bluffs,S2,486,hybrid-service,4,1,false,heuristic,pass
I80,5,STOP-DESMOINES,Des Moines,S3,382,hybrid-service,4,1,true,heuristic,pass
I80,6,STOP-CHI-GARY,Chicago/Gary,S2,506,hybrid-service,4,2,false,heuristic,pass
I80,7,STOP-SOUTH-BEND,South Bend/Elkhart,S2,486,hybrid-service,4,2,true,heuristic,pass
I80,8,STOP-TOLEDO,Toledo,S2,498,hybrid-service,4,3,false,heuristic,pass
I80,9,STOP-NY-NJ,New York/New Jersey,S1,603,hybrid-service,4,3,false,heuristic,pass
I90,1,STOP-SEA,Seattle,S2,494,hybrid-service,4,0,true,heuristic,pass
I90,2,STOP-BILLINGS,Billings,S2,494,hybrid-service,4,1,false,heuristic,pass
I90,3,STOP-RAPID-CITY,Rapid City,S2,494,hybrid-service,4,1,true,heuristic,pass
I90,4,STOP-MILWAUKEE,Madison/Milwaukee,S3,374,hybrid-service,4,2,false,heuristic,pass
