artifact_path,row_id,evidence_label,blocked_claims,source_id,review_note
data/eu_rhine_alpine_source_link_candidates.csv,EUR-LAYER-TENTEC-001,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-002,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_link_candidates.csv,EUR-LAYER-GISCO-001,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-003,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_need_candidates.csv,EUR-NEED-CAND-001,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-001,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_need_candidates.csv,EUR-NEED-CAND-002,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-004,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_node_candidates.csv,NLRTM,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-003,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_node_candidates.csv,BEANR,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-003,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_node_candidates.csv,ITGOA,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-003,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_node_candidates.csv,CHBSL,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-003,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_source_node_candidates.csv,DEDUI,source-candidate,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-003,EU dry-run row; internal parser fixture only
data/eu_rhine_alpine_service_target_candidates.csv,EUR-TARGET-GAP-001,held,official_network;official_corridor_designation;member_state_approval;route_designation;geometry_acceptance;topology_proof;map_overlay;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,EUR-SRC-SLA-001,EU dry-run row; internal parser fixture only
