# ROUTE Corridor Strategic Designations
# Source: FHWA USMCA High Priority Corridors, DoD STRAHNET, USDA ERS agricultural data
# Update this file as federal designations change; scores are NOT hard-coded in Rust.
# A4: USMCA trade corridor score 0-10 (FHWA NHS High Priority Corridor + border crossing data)
# B4: Military/strategic score 0-10 (STRAHNET designation + military installation proximity)
# C4: Agricultural export score 0-10 (USDA county production + export terminal proximity)
ROUTE_ID,A4_USMCA,B4_MILITARY,C4_AG_EXPORT,NOTES
I5,8.5,7.0,7.5,West Coast spine; San Diego/Tijuana + Blaine WA crossings; Camp Pendleton
I10,9.0,8.0,7.0,Southern route; El Paso + San Diego crossings; Fort Bliss; Gulf ag exports
I35,10.0,8.0,10.0,Laredo #1 US-MX crossing; Fort Hood; Great Plains grain→Gulf
I40,7.5,7.0,7.5,USMCA connector; Fort Campbell; Oklahoma wheat corridor
I75,6.5,7.0,7.0,Ambassador Bridge (Detroit #1 US-CA crossing by value); Fort Knox
I80,9.0,8.5,9.0,Transcontinental; Offutt AFB/STRATCOM; Corn Belt→Pacific
I90,6.0,9.0,8.5,Blaine WA crossing; Malmstrom ICBM; Minot ICBM; Spokane AFB; Northern wheat
I95,5.5,7.5,0.0,Houlton ME/Calais ME crossings; Quantico; Fort Bragg; no ag
I94,7.5,7.0,8.0,Detroit US-CA crossing; Corn Belt freight; Great Lakes
I25,6.0,8.5,5.0,Raton NM crossing; FE Warren ICBM + USSTRATCOM; Fort Carson
I29,5.5,5.0,9.5,Pembina ND/Portal ND crossings; Red River Valley wheat (#1 spring wheat)
I70,5.0,7.5,7.0,Fort Riley KS; Kansas wheat belt; Rock Island Arsenal
I19,8.0,5.0,6.0,Nogales AZ crossing (Mariposa commercial); major vegetable imports
I15,5.0,6.0,5.0,Sweetgrass MT crossing; Las Vegas (no ag); Nellis AFB
US287,5.0,7.5,9.0,Fort Worth→Amarillo→Denver→Laramie; FE Warren ICBM approach; TX Panhandle sorghum; WY cattle
US83,7.5,5.5,8.5,Eagle Pass TX approach; Great Plains grain corridor; McConnell AFB approach
US2,4.5,7.0,8.0,Sweetgrass MT + Pembina ND crossings; Malmstrom/Minot ICBM approach; Red River Valley
US30,0.0,0.0,7.5,Lincoln Hwy; Corn Belt IA/NE/IN; no USMCA; no major military
US50,0.0,0.0,0.0,I-70 Pacific gap; no USMCA or military data yet — update from FHWA
US69,4.0,0.0,5.0,I-69 corridor; Gulf-to-Midwest trade potential; Arkansas ag
US77,5.0,0.0,6.0,Laredo approach; south TX cotton/citrus
# ── T2 Major Connectors ────────────────────────────────────────────────────────
# B4 includes network strategic role (bridge/relief valve) as well as physical installations
# Corridors that are the ONLY connection between multiple T1s get +1.5 on B4
I65,0.0,8.0,7.0,Fort Campbell KY (101st Airborne); Mobile AL port; ONLY corridor connecting I-10/I-40/I-64/I-70/I-90 through south-central US; Anniston Army Depot
I81,0.0,7.5,5.5,Quantico USMC; Shenandoah Valley ag; NETWORK: 35% of I-81 trucks are I-95 refugees — strategic I-95 relief valve
I85,0.0,7.5,6.5,Fort Benning/Moore GA; Anniston Army Depot AL; NETWORK: SE manufacturing corridor Charlotte→Atlanta; bridges I-95 and I-20
I64,0.0,6.5,5.5,Langley AFB VA; Redstone Arsenal AL; NETWORK: only E-W interstate through central Appalachians between I-70 and I-40
I20,0.0,6.5,5.5,Dyess AFB TX; Barksdale AFB approach; SE ag cotton/soy; NETWORK: bridges I-95 Atlanta to I-10/I-35 Dallas
I44,0.0,7.0,5.0,Fort Leonard Wood MO (Army Engineer School); McAlester Army Ammo OK; NETWORK: bridges I-35 to I-70 via OKC-Springfield-St Louis
I69,4.0,5.5,6.0,Gulf-to-Midwest USMCA potential; ag soy/corn; NETWORK: future T1, currently primary HOU→IND→DET bridge
I49,0.0,6.5,7.5,Barksdale AFB LA; Louisiana cotton/soy/sugarcane; AR rice/soy; NETWORK: only N-S interstate west of I-55 east of I-35 in deep south
I77,0.0,6.5,5.0,Ft Jackson SC; NETWORK: bridges I-26 to I-70 through Appalachians; Charlotte→Cleveland
I30,0.0,6.0,5.5,Red River Army Depot TX; AR ag; NETWORK: bridges I-35 Dallas to I-40 Little Rock
I24,0.0,7.5,5.0,Fort Campbell KY (101st Airborne — #1 size); NETWORK: Nashville→Chattanooga→Knoxville bridge connecting I-65 to I-75/I-40
I84,0.0,6.5,7.5,Mountain Home AFB ID; Hanford DOE nuclear WA; Snake River Valley potato/onion; NETWORK: only Portland→SLC connector
I285,0.0,5.0,0.0,STRAHNET baseline; Atlanta metro distribution hub; no agricultural role
# ── US Highway T2 upgrade candidates ──────────────────────────────────────────
US30,0.0,5.0,7.5,Lincoln Hwy; Corn Belt IA/NE/IN; STRAHNET baseline; I-80 relief valve segments
US412,0.0,5.0,7.0,Southern tier AR/MO/TN; Fort Smith AR approach; delta ag corridor; proposed I-412
US6,0.0,5.0,6.0,Mid-country E-W IA/NE/CO; Iowa corn/soy; STRAHNET on portions; I-80 parallel
# ── T1 adjacents needing scores ────────────────────────────────────────────────
I285,0.0,5.0,0.0,Atlanta beltway; STRAHNET; no ag or border role; major freight hub
I110,0.0,5.0,0.0,Pasadena CA + Biloxi MS urban connectors; STRAHNET; no ag
