task_id,source_id,source_family,target_adapter_table,required_fields,preflight_action,allowed_output_label,blocked_if_missing,claim_boundary,next_action
JPN-PARSE-001,JPN-SRC-001,road_bureau_context,japan_source_need_candidates,road administration context; road bureau title; source owner; access note,extract bounded governance context only,source-candidate,source owner or road bureau context missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,write bounded need/context rows before any parser implementation
JPN-PARSE-002,JPN-SRC-002,road_statistics_context,japan_source_need_candidates,road category; road length; statistic period; table title; access note,record road-statistics context only; do not infer need or SLA,source-candidate,road-statistics table structure missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,"select exact table fields before need, graph, or parser mapping"
JPN-PARSE-003,JPN-SRC-003,road_traffic_census_context,japan_source_need_candidates,statistics code; census title; survey table; ministry in charge; access note,record traffic-census context only; do not forecast demand,source-candidate,extractable census table missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,select extractable census tables before traffic or service-target inference
JPN-PARSE-004,JPN-SRC-004,geospatial_road_context,japan_source_link_candidates,transportation layer; road feature class; dataset version; download format; access note,hold road-feature extraction until usable metadata source exists,source-needed,usable road-feature metadata source missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,"resolve usable metadata source before geometry, topology, map, or fixture promotion"
JPN-PARSE-005,JPN-SRC-005,port_system_context,japan_source_node_candidates,ports bureau context; port policy title; source owner; access note,record port-node source-selection context only,source-candidate,port system context or access note missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,"select exact port-node rows before terminal, node, or access fixture use"
JPN-PARSE-006,JPN-SRC-006,port_classification_context,japan_source_node_candidates,port classification; port type; legal context; access note,record classification vocabulary only,source-candidate,classification vocabulary missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,map classification terms before port-node promotion
JPN-PARSE-007,JPN-SRC-007,hierarchy_fixture_context,japan_source_link_candidates,candidate tier; service role; readiness basis; evidence label; claim boundary,carry forward heuristic-held hierarchy rows only,heuristic-held,evidence label or claim boundary missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,complete source-row validation role review and geometry policy before replacing hierarchy fixture
JPN-PARSE-008,JPN-SRC-SLA-001,service_targets,japan_service_target_candidates,target id; target class; assumption label; local basis; numeracy review,do not parse as source-bound target,held,local target source and numeracy basis missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,keep target assumptions held before target-posture closeout
JPN-PARSE-009,carry-forward,evidence_labels,japan_adapter_evidence_labels,artifact path; row id; evidence label; blocked claims,attach labels to all future dry-run rows,carry-forward,evidence label or blocked claims missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,block dry-run use before evidence labels attach
JPN-PARSE-010,internal-roles,review_roles,japan_adapter_review_backlog,role lane; review question; result; hold,create Japan role review backlog after dry run,carry-forward,role lanes missing,official_network;official_corridor_designation;ministry_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;disaster_readiness;terminal_performance;node_completeness;road_access_proof;throughput_proof;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness,run Japan-specific roles before stronger claims
