route,current_tier,current_score,confidence,confidence_label,pressure_type,witness_action,target_tier,selection_basis,source_artifact,next_artifact,validation_status
I610,T2,69.4,0.73,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
I110,T2,65.6,0.75,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
I240,T2,62.3,0.72,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
I680,T2,60.2,0.7,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
I225,T2,55.8,0.7,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,local-spur,data/tier-candidate-columns.csv,data/tier-table.csv,review
I635,T2,54.9,0.7,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
I664,T2,54.8,0.68,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,local-spur,data/tier-candidate-columns.csv,data/tier-table.csv,review
I264,T2,53.4,0.75,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
I220,T2,53.2,0.73,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,local-spur,data/tier-candidate-columns.csv,data/tier-table.csv,review
I275,T2,52.8,0.72,Medium,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/tier-table.csv,review
US2,T2,51.7,0.52,Low,demotion-pressure,demote-to-lower-tier-treatment,T3/T4,local-spur,data/tier-candidate-columns.csv,data/tier-table.csv,review
I-57,T3,49.6,0.6,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-19,T3,49.3,0.71,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-16,T3,48.7,0.72,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
US69,T3,48.4,0.55,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-71,T3,47.4,0.6,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-74,T3,47.2,0.6,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-630,T3,46.7,0.7,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-280,T3,46.1,0.6,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-105,T3,45.7,0.7,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-2,T3,45.7,0.72,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-480,T3,45.6,0.72,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-675,T3,45.5,0.72,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-8,T3,45.3,0.74,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-96,T3,45.2,0.6,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
US40,T3,45.1,0.51,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
US75,T3,45.1,0.54,Low,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-215,T3,45.0,0.72,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
I-464,T3,45.0,0.75,Medium,regional-upgrade-pressure,evaluate-for-t2-upgrade-candidate,T2,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,review
US90Z,T4,29.9,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-135,T4,29.8,0.72,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US74,T4,29.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-180,T4,29.7,0.72,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US22,T4,29.7,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-880,T4,29.6,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US10,T4,29.4,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-72,T4,29.3,0.6,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US301,T4,29.3,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US15,T4,29.2,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-510,T4,29.1,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-93,T4,29.1,0.6,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US95,T4,29.0,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
