failure_id,segment_ref,failure_metric_ref,evidence_posture,review_question,source_ref,held_claims
TX-TX-SAMPLE-I35-DFW-AUS-SSF-001,TX-SAMPLE-I35-DFW-AUS,SSF-001,heuristic-held,Replace sample with TxDOT source segments incident history and parallel-state-system analysis,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-I35-DFW-AUS-SSF-002,TX-SAMPLE-I35-DFW-AUS,SSF-002,heuristic-held,Replace sample with TxDOT source segments incident history and parallel-state-system analysis,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-I35-DFW-AUS-SSF-003,TX-SAMPLE-I35-DFW-AUS,SSF-003,heuristic-held,Replace sample with TxDOT source segments incident history and parallel-state-system analysis,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-I10-SAT-HOU-SSF-001,TX-SAMPLE-I10-SAT-HOU,SSF-001,heuristic-held,Validate incident exposure alternate-route penalty and evacuation role,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-I10-SAT-HOU-SSF-002,TX-SAMPLE-I10-SAT-HOU,SSF-002,heuristic-held,Validate incident exposure alternate-route penalty and evacuation role,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-I10-SAT-HOU-SSF-003,TX-SAMPLE-I10-SAT-HOU,SSF-003,heuristic-held,Validate incident exposure alternate-route penalty and evacuation role,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-US287-SSF-002,TX-SAMPLE-US287,SSF-002,heuristic-held,Validate truck movement restrictions and northern plains continuity,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-US287-SSF-003,TX-SAMPLE-US287,SSF-003,heuristic-held,Validate truck movement restrictions and northern plains continuity,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-US287-SSF-004,TX-SAMPLE-US287,SSF-004,heuristic-held,Validate truck movement restrictions and northern plains continuity,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-US83-SSF-004,TX-SAMPLE-US83,SSF-004,heuristic-held,Validate rural isolation exposure and emergency access role,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-US83-SSF-006,TX-SAMPLE-US83,SSF-006,heuristic-held,Validate rural isolation exposure and emergency access role,heuristic-held,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-PORT-HOU-SSF-005,TX-SAMPLE-PORT-HOU,SSF-005,source-needed,Validate terminal inventory truck routing gate delay and recovery evidence,source-needed,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-PORT-HOU-SSF-007,TX-SAMPLE-PORT-HOU,SSF-007,source-needed,Validate terminal inventory truck routing gate delay and recovery evidence,source-needed,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
TX-TX-SAMPLE-RANCH-M-SSF-008,TX-SAMPLE-RANCH-M,SSF-008,source-needed,Keep in full inventory and document why no current T1/T2/T3/T4 role is assigned,source-needed,official_designation|legal_sla|construction|cost|numeric_roi|roi|eligibility|compliance|endorsement|validation|public_readiness|state_approval|source_backed_full_inventory
