hierarchy_id,from_node,to_node,from_label,to_label,from_lon,from_lat,to_lon,to_lat,candidate_tier,service_role,need_class,readiness_basis,evidence_label,iteration_change,claim_boundary
CHN-HIER2-T1-001,BEI,TJN,Beijing,Tianjin,116.41,39.90,117.20,39.12,T1,national logistics spine,Capital region to north port continuity candidate,road_graph_source_needed;port_node_source_needed;policy_source_needed,heuristic-held,repaired from fixture T4 misclassification to T1 candidate,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T1-002,TJN,SHG,Tianjin,Shanghai,117.20,39.12,121.47,31.23,T1,national logistics spine,North coast to Yangtze logistics candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T1-003,NKG,WUH,Nanjing,Wuhan,118.80,32.06,114.31,30.59,T1,national logistics spine,Yangtze midstream logistics candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T1-004,SHG,GZ,Shanghai,Guangzhou,121.47,31.23,113.26,23.13,T1,national logistics spine,Coastal manufacturing spine candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T2-001,SHG,NKG,Shanghai,Nanjing,121.47,31.23,118.80,32.06,T2,regional connector,Yangtze Delta access candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept as T2 pending stronger source evidence,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T2-002,WUH,CHQ,Wuhan,Chongqing,114.31,30.59,106.55,29.56,T2,regional connector,Upper Yangtze access candidate,road_graph_source_needed;constraint_source_needed,heuristic-held,kept as T2 with western access constraint hold,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T2-003,GZ,SZX,Guangzhou,Shenzhen,113.26,23.13,114.06,22.54,T2,regional/export connector,Pearl River Delta export access candidate,road_graph_source_needed;port_node_source_needed;terminal_source_needed,heuristic-held,repaired from fixture T4 to T2 while separating terminal feeder,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T2-004,WUH,ZZH,Wuhan,Zhengzhou,114.31,30.59,113.62,34.75,T2,inland logistics connector,Central inland distribution candidate,node_source_needed;need_surface_source_needed;constraint_source_needed,heuristic-held,added inland distribution connector,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T3-001,SHG,NGB,Shanghai,Ningbo,121.47,31.23,121.55,29.87,T3,port access feeder,Yangtze Delta port feeder candidate,port_node_source_needed;terminal_source_needed,heuristic-held,kept as separate port feeder,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T3-002,TJN,TPX,Tianjin,Tianjin Port,117.20,39.12,117.75,38.99,T3,terminal access feeder,Tianjin port terminal access candidate,port_node_source_needed;terminal_source_needed,heuristic-held,added terminal feeder so trunk spine is not downgraded,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T3-003,SZX,YTN,Shenzhen,Yantian Port,114.06,22.54,114.27,22.58,T3,terminal access feeder,Pearl River terminal access candidate,port_node_source_needed;terminal_source_needed,heuristic-held,added terminal feeder so export connector is not downgraded,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
CHN-HIER2-T3-004,CHQ,CDU,Chongqing,Chengdu,106.55,29.56,104.07,30.67,T3,western access feeder,Western inland access candidate,node_source_needed;constraint_source_needed,heuristic-held,added western inland access candidate,not an official Chinese corridor policy alignment SLA construction ROI eligibility compliance endorsement or validation claim
