state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
oklahoma,OK-SAMPLE-I35,I-35,Kansas gateway,Texas gateway,ODOT,interstate,T1,R,North-south plains trunk and Oklahoma City service promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure weather recovery and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oklahoma,OK-SAMPLE-I40,I-40,Texas Panhandle gateway,Arkansas gateway,ODOT,interstate,T1,R,East-west plains trunk and cross-state freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate closure history work-zone risk and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oklahoma,OK-SAMPLE-US69,US 69,Kansas gateway,Texas gateway,ODOT,US-highway,T2,R,Eastern Oklahoma freight connector and I-35 load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck reliability service-class continuity and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oklahoma,OK-SAMPLE-US412,US 412,Tulsa,Panhandle gateway,ODOT,US-highway,T3,R,Northern rural and Panhandle access continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes weather exposure and sparse-access penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oklahoma,OK-SAMPLE-PORT-CATOOSA,Tulsa port access,Port of Catoosa,Tulsa tier node,port-or-local,terminal-access,T4,,Inland port terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints river/rail/truck routing and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oklahoma,OK-SAMPLE-MAINT,example maintained rural state route,rural-a,rural-b,ODOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arkansas,AR-SAMPLE-I40,I-40,Oklahoma gateway,Memphis gateway,ArDOT,interstate,T1,R,Arkansas River/Delta east-west trunk and freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident flood exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arkansas,AR-SAMPLE-I49,I-49,Northwest Arkansas,Fort Smith gateway,ArDOT,interstate,T1,R,Northwest growth trunk and regional freight reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate corridor continuity incident exposure and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arkansas,AR-SAMPLE-US67,US 67,Little Rock,Northeast Arkansas,ArDOT,US-highway,T2,R,Northeast Arkansas connector and I-40 redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity and rural freight role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arkansas,AR-SAMPLE-US65,US 65,Little Rock,Delta communities,ArDOT,US-highway,T3,R,Delta rural access and flood resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate rural isolation flood exposure and bridge constraints,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
