state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
indiana,IN-SAMPLE-I65,I-65,Gary,Indianapolis,INDOT,interstate,T1,R,Northwest Indiana-to-capital trunk and Chicago gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate interchange exposure lake-effect winter recovery and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
indiana,IN-SAMPLE-I70,I-70,Illinois gateway,Ohio gateway,INDOT,interstate,T1,R,Cross-state east-west trunk and Indianapolis hub promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident/work-zone exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
indiana,IN-SAMPLE-US31,US 31,South Bend,Indianapolis,INDOT,US-highway,T2,R,North-central connector and I-65/I-69 load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity and freight suitability,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
indiana,IN-SAMPLE-US50,US 50,Vincennes,Lawrenceburg,INDOT,US-highway,T3,R,Southern Indiana rural and river access connector,SSF-004|SSF-006,heuristic-held,Validate rural isolation bridge exposure and Ohio River access role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
indiana,IN-SAMPLE-PORT-BURNS,Burns Harbor port access,Burns Harbor terminals,Northwest Indiana tier node,port-or-local,terminal-access,T4,,Lake Michigan port and terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing rail/port access and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
indiana,IN-SAMPLE-MAINT,example maintained rural state route,rural-a,rural-b,INDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
south-carolina,SC-SAMPLE-I26,I-26,Upstate South Carolina,Charleston,SCDOT,interstate,T1,R,Upstate-to-port trunk and statewide freight/evacuation promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure hurricane evacuation and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
south-carolina,SC-SAMPLE-I95,I-95,Georgia gateway,North Carolina gateway,SCDOT,interstate,T1,R,Atlantic interstate trunk and coastal access promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate storm evacuation alternate capacity and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
south-carolina,SC-SAMPLE-US17,US 17,Charleston,Myrtle Beach,SCDOT,US-highway,T2,R,Coastal connector and evacuation/load-shedding candidate,SSF-002|SSF-004|SSF-006,heuristic-held,Validate coastal bridge exposure service-class continuity and evacuation role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
south-carolina,SC-SAMPLE-US301,US 301,Lowcountry,Midlands,SCDOT,US-highway,T3,R,Rural Lowcountry access and inland redundancy candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation flood exposure and service-node access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
south-carolina,SC-SAMPLE-PORT-CHS,Port of Charleston access,Charleston terminals,Charleston tier node,port-or-local,terminal-access,T4,,Charleston port terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction storm recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
south-carolina,SC-SAMPLE-MAINT,example maintained rural coastal route,rural-a,rural-b,SCDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maryland,MD-SAMPLE-I95,I-95,Baltimore,Delaware gateway,MDOT,interstate,T1,R,Northeast Corridor trunk and port/metro reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate tunnel/bridge exposure alternate-route penalty and terminal access role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maryland,MD-SAMPLE-I70,I-70,Baltimore,Western Maryland,MDOT,interstate,T1,R,Baltimore-to-western Maryland trunk and mountain gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure and US/state route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maryland,MD-SAMPLE-US50,US 50,Washington/Baltimore region,Eastern Shore,MDOT,US-highway,T2,R,Chesapeake crossing and Eastern Shore access connector,SSF-002|SSF-004|SSF-007,heuristic-held,Validate bridge exposure seasonal demand and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maryland,MD-SAMPLE-MD5,MD 5,Capital region,Southern Maryland,MDOT,state-highway,T3,R,Southern Maryland rural and military/institutional access candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes evacuation role and alternate access constraints,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maryland,MD-SAMPLE-PORT-BAL,Port of Baltimore access,Port of Baltimore,Baltimore tier node,port-or-local,terminal-access,T4,,Baltimore port terminal and tunnel/bridge access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction bridge/tunnel constraints and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maryland,MD-SAMPLE-X,example restricted parkway/local route,local-a,local-b,state-or-local,restricted-local-road,X,,Outside current freight/service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting restricted local geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nevada,NV-SAMPLE-I15,I-15,Las Vegas,Utah gateway,NDOT,interstate,T1,R,Las Vegas-to-intermountain trunk and desert freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate heat incident exposure alternate capacity and freight reliability,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nevada,NV-SAMPLE-I80,I-80,Reno,Utah gateway,NDOT,interstate,T1,R,Northern Nevada trunk and Sierra/intermountain gateway promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nevada,NV-SAMPLE-US95,US 95,Las Vegas,Reno,NDOT,US-highway,T2,R,Statewide north-south connector and interstate redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity rural fuel/service constraints and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nevada,NV-SAMPLE-US50,US 50,Central Nevada communities,Utah gateway,NDOT,US-highway,T3,R,Central Nevada rural access and emergency continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation emergency access and sparse-service exposure,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nevada,NV-SAMPLE-AIR-LAS,Las Vegas airport/cargo access,Harry Reid airport,Las Vegas tier node,airport-or-local,terminal-access,T4,,Airport and resort logistics terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction event demand and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nevada,NV-SAMPLE-MAINT,example maintained desert state route,rural-a,rural-b,NDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
