zone_id,zone_name,obligation_class,access_target,promise_horizon_hours,source_route_count,candidate_routes,source_intake_classes,map_id,next_artifact,optimizer_effect,validation_status
t3-great-lakes,Great Lakes / Ohio Valley,regional-feeder-access,select T3 feeder/contact chain inside the zone,6,7,I-180;I220;I264;I270;I275;US22;US74,t3-regional-intake,t3-great-lakes,data/t3-zone-route-columns.csv,turns lower-tier pressure into regional feeder obligations for zone maps,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,prove T2 contact and regional service value before upgrade,24,8,I-280;I-480;I-675;I-71;I-74;I-96;US40;US75,bubble-up-t2-review,t3-great-lakes,data/t2-bubble-up-review.csv,keeps lower-tier upgrade pressure attached to zone maps before any T2 reopening,review
t3-mid-south,Mid-South / Delta / Ozarks,regional-feeder-access,select T3 feeder/contact chain inside the zone,6,5,I240;I295;I49;I635;I664,t3-regional-intake,t3-mid-south,data/t3-zone-route-columns.csv,turns lower-tier pressure into regional feeder obligations for zone maps,review
t3-mid-south,Mid-South / Delta / Ozarks,regional-upgrade-review,prove T2 contact and regional service value before upgrade,24,1,I-630,bubble-up-t2-review,t3-mid-south,data/t2-bubble-up-review.csv,keeps lower-tier upgrade pressure attached to zone maps before any T2 reopening,review
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,select T3 feeder/contact chain inside the zone,6,6,I-135;I205;I225;I25;I680;US2,t3-regional-intake,t3-mountain-west,data/t3-zone-route-columns.csv,turns lower-tier pressure into regional feeder obligations for zone maps,review
t3-mountain-west,Mountain West / Interior Coverage,regional-upgrade-review,prove T2 contact and regional service value before upgrade,24,2,I-215;I-8,bubble-up-t2-review,t3-mountain-west,data/t2-bubble-up-review.csv,keeps lower-tier upgrade pressure attached to zone maps before any T2 reopening,review
t3-southeast,Southeast / Appalachia,regional-feeder-access,select T3 feeder/contact chain inside the zone,6,5,I22;I24;I37;I65;US90Z,t3-regional-intake,t3-southeast,data/t3-zone-route-columns.csv,turns lower-tier pressure into regional feeder obligations for zone maps,review
t3-southeast,Southeast / Appalachia,regional-upgrade-review,prove T2 contact and regional service value before upgrade,24,3,I-16;I-464;I-57,bubble-up-t2-review,t3-southeast,data/t2-bubble-up-review.csv,keeps lower-tier upgrade pressure attached to zone maps before any T2 reopening,review
t3-texas-border,Texas Border / Gulf Access,regional-feeder-access,select T3 feeder/contact chain inside the zone,6,3,I110;I610;US281,t3-regional-intake,t3-texas-border,data/t3-zone-route-columns.csv,turns lower-tier pressure into regional feeder obligations for zone maps,review
t3-texas-border,Texas Border / Gulf Access,regional-upgrade-review,prove T2 contact and regional service value before upgrade,24,3,I-19;I-2;US69,bubble-up-t2-review,t3-texas-border,data/t2-bubble-up-review.csv,keeps lower-tier upgrade pressure attached to zone maps before any T2 reopening,review
