source_id,artifact,publisher,current_source_year,candidate_source_year,acquisition_status,credential_mode,current_command,authoritative_url,local_parser_status,blocking_gap,next_action
SRC-I80-TIGER,data/cache/tl_2023_us_primaryroads.zip,U.S. Census Bureau,2023,2025,automated,no-credential,route fetch,https://www2.census.gov/geo/tiger/TIGER2025/PRIMARYROADS/,implemented-shapefile-parser,Manifest is pinned to 2023 while 2025 is available,Test 2025 schema before updating manifest year and filename
SRC-I80-GAZETTEER,data/cache/2023_Gaz_counties_national.txt,U.S. Census Bureau,2023,2025,automated-download-partial-extract,no-credential,route fetch,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/,implemented-text-parser,Report loader requires extracted text but manifest fetch leaves a zip until another command extracts it,Add deterministic extraction and test the 2025 delimiter/schema before upgrade
SRC-I80-HPMS,data/cache/hpms_2018.csv,FHWA,2018,,automated-partial,no-credential,"route fetch-hpms --states CA,NV,UT,WY,NE,IA,IL,IN,OH,PA,NJ",https://data.transportation.gov/Roadways-and-Bridges/Highway-Performance-Monitoring-System-HPMS-/jc5k-rzm8,implemented-ArcGIS-parser-and-scoped-merge,The command uses state-hosted 2018 services and the filename can be mistaken for current national HPMS,Keep 2018 explicit and research a current-year national or state endpoint before renaming
SRC-I80-ACS-POP,data/cache/acs_county_pop_2022.csv,U.S. Census Bureau,2022,2024,credential-supported,census-api-key,route fetch-acs,https://api.census.gov/data/2022/acs/acs5,implemented-keyed-JSON-parser,CENSUS_API_KEY must be present in the environment,Run the source bundle with CENSUS_API_KEY and retain the explicit 2022 report vintage
SRC-I80-ACS-INCOME,data/cache/acs_county_income_2022.csv,U.S. Census Bureau,2022,2024,credential-supported,census-api-key,route fetch-acs-income,https://api.census.gov/data/2022/acs/acs5,implemented-keyed-JSON-parser,CENSUS_API_KEY must be present in the environment,Run the source bundle with CENSUS_API_KEY and retain the explicit 2022 report vintage
SRC-I80-RUCC,data/cache/rucc_2023.csv,USDA Economic Research Service,2023,2023,automated,no-credential,npm run prepare:i80:sources,https://www.ers.usda.gov/media/5768/2023-rural-urban-continuum-codes.csv?v=66892,implemented-download-normalization-and-CSV-join,,Retain 2023 as the canonical RUCC vintage
SRC-I80-DCFC,data/cache/dcfc_stations.csv,DOE Alternative Fuels Data Center / NLR,,,credential-adapter-deferred-excluded,api-key,,https://developer.nlr.gov/docs/transportation/alt-fuel-stations-v1/,cache-loader-only,No reviewed cache or key-backed adapter exists,Exclude the DCFC component from reviewed regeneration until a fixture-tested NLR adapter is implemented
SRC-I80-FEMA,data/cache/fema_sfha_tile_counts.csv,FEMA,2024,,endpoint-blocked-excluded,no-credential,,https://hazards.fema.gov/arcgis/rest/services/public/NFHL/MapServer,legacy-query-builder-not-I80-ready,The legacy endpoint did not sustain corridor-scale tile queries and the existing tile plan does not cover I-80,Exclude FEMA from reviewed regeneration until a bounded replacement source and coverage adapter are selected
SRC-I80-NBI,data/cache/nbi_bridges.csv,FHWA,2023,2025,adapter-deferred-excluded,no-credential,,https://www.fhwa.dot.gov/bridge/nbi/ascii2025.cfm,summary-loader-only,No reviewed raw-to-route-summary adapter exists,Exclude NBI bridge measures from reviewed regeneration until the 2025 delimited adapter has fixture and route-coverage evidence
SRC-I80-FARS,data/cache/fars_2022_routes.csv,NHTSA,2022,,adapter-deferred-excluded,no-credential,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2022/National/FARS2022NationalCSV.zip,summary-loader-only,No reviewed national-download to route-rate adapter exists,Exclude A5 FARS measures from reviewed regeneration until route normalization and VMT denominator evidence pass
SRC-I80-FAF5,data/cache/faf5_5_6.csv,BTS / FHWA,2022,,claim-reference-excluded,no-credential,,https://ops.fhwa.dot.gov/freight/freight_analysis/faf/,partial-CSV-parser-and-incomplete-zone-table,The unconditional reviewed-report citation was removed because I-80 A2 uses an HPMS cargo-value proxy,Implement source-backed FAF routing before restoring a FAF5 citation
SRC-I80-BEA,data/cache/CAINC4.zip,U.S. Bureau of Economic Analysis,2022,,claim-reference-excluded,no-credential,,https://apps.bea.gov/regional/zip/CAINC4.zip,no-clean-clone-fetch-or-join,The unconditional reviewed-report citation was removed because no BEA cache produced the current C3 output,Implement a BEA download and county join before restoring a BEA citation
