package_id,standard_id,proof_evidence_level,blueprint_claim_status,promotion_rule,proof_artifact,forum_hold,blocking_gap,required_next_evidence
B6-P0-RELAY-OPS,T1-TRANSIT-HUB,Heuristic,heuristic,keep hub and relay workforce claims heuristic until geometry and demand validate,route passenger-matrix; route hub-staff; specs/2026-05-06-interstate-2-design.md,Forum F5-07,Passenger demand and hub geometry are not validated,L2 hub outage and transfer reliability scenario with source labels
B6-P0-RELAY-OPS,T1-REST,Planned,planned,do not claim rest-area supply until inventory joins exist,specs/2026-05-06-tier-standards.md,Forum F5-07,Rest-area and truck-parking inventory not joined,L1 rest and truck-parking gap report
B6-P0-RELAY-OPS,T1-RECOVERY,Heuristic,heuristic,recovery arithmetic may frame operations but not proven restoration,route sim scenario; crates/route-sim/src/scenario.rs,Forum F5-01,Current t90 is simplified with no operational restoration model,L2 closure scenario matrix with observed restoration assumptions
B6-P0-REST-WIM-BRIDGE,T1-REST,Planned,planned,source row required before design promotion,specs/2026-05-06-tier-standards.md,Forum F5-07,Rest-area and truck-parking inventory not joined,L1 rest and truck-parking gap report
B6-P0-REST-WIM-BRIDGE,T1-OPS-WIM,Planned,planned,inventory package only until weigh-station and delay sources are joined,specs/2026-05-06-tier-standards.md,Forum F5-07,No weigh-station inventory or delay model joined,L1 WIM inventory artifact and L2 delay sensitivity
B6-P0-REST-WIM-BRIDGE,T1-BRIDGE,Planned,planned,bridge package remains source foundation until clearance and posting joins exist,specs/2026-05-06-tier-standards.md,Forum F5-07,Bridge and clearance data not joined to graph,L1 bridge clearance and posting ledger
B6-P0-REST-WIM-BRIDGE,T4-MAINTENANCE,Planned,planned,maintenance claims stay asset-condition placeholders until source join,specs/2026-05-06-tier-standards.md,Forum F5-07,Asset condition data not joined,L1 T4 asset condition ledger
B6-P1-DIAMOND-RECOVERY,T1-DIAMOND-K,Heuristic,held,proof target only until top-site k and failure evidence are validated,route diamond all; data/t1-diamond-validation.csv; data/t1-evidence-windows.csv; docs/evidence-campaigns/milepost-8-source-attempt.md,Forum F5-01,TIGER snapping manual validation and empirical closure probability are blocking gaps; Milepost 9 adds source-window metadata and a snapshot-history guard but Iowa remains snapshot-only and INDOT remains zero-row,L1 validated top-5 intersection and failure-rate ledgers with stable archive or polling window
B6-P1-DIAMOND-RECOVERY,T1-FLYOVER,Planned,held,do not promote flyover benefits without ramp geometry and capacity model,specs/2026-05-06-tier-standards.md; specs/2026-05-06-interstate-2-design.md,Forum F5-07,No ramp geometry cost component or capacity model per site,L2 T1/T1 diamond flyover throughput scenario
B6-P1-DIAMOND-RECOVERY,T1-RECOVERY,Heuristic,held,recovery target remains held for diamond package until throughput restoration is validated,route sim scenario; crates/route-sim/src/scenario.rs,Forum F5-01,Current t90 is simplified with no operational restoration model,L2 closure scenario matrix with observed restoration assumptions
B6-P1-DONNER-CALIBRATION,T1-SPURS,Planned,held,no-delta Donner fixture cannot support spur benefit claims,gaps/resilience.md; crates/route-sim/src/scenarios/donner-closure.toml,Forum F5-08,Spur locations and US-route capacity are not selected,L1 spur candidate ledger and L2 closure scenario with alternate capacity
B6-P1-DONNER-CALIBRATION,T1-CLIMATE,Heuristic,heuristic,climate resilience stays heuristic until hazard frequency and segment joins improve,gaps/resilience.md; data/hazard_zones.csv; research/publications/B.3+resilience-holes,Forum F5-08,FEMA site joins and climate frequency are partial,L1 FEMA/NFHL segment overlay and L2 flood closure sensitivity
B6-P1-DONNER-CALIBRATION,T1-RECOVERY,Heuristic,held,no-delta fixture cannot prove recovery intervention sensitivity,route sim scenario; crates/route-sim/src/scenario.rs,Forum F5-08,Current t90 is simplified with no operational restoration model,loaded queue and alternate-capacity sensitivity fixture
B6-P1-DONNER-CALIBRATION,T1-INTERMODAL,Heuristic,heuristic,intermodal diversion stays heuristic until rail-eligible diversion is sensitivity-tested,gaps/intermodal.md; research/publications/C.2+national-max-flow,Forum F5-07,Single-commodity max-flow must be sensitivity-tested,L2 15-25 percent rail-eligible diversion sensitivity
B6-P1-MANAGED-LANE-PILOT,T1-OPS-FREIGHT-LANES,Heuristic,held,managed-lane benefits remain held until demand toll and merge sensitivities exist,route interventions; route standards-test; crates/route-sim/src/scenarios/atlanta-peak.toml,Forum F5-07,Demand toll take-up and downstream merge capacity are not calibrated,L2 managed-lane sensitivity by demand and toll take-up
B6-P1-MANAGED-LANE-PILOT,T1-OPS-PTI,Heuristic,held,SLA PTI claims cannot be promoted without direct NPMRDS or validated queueing evidence,route standards-test; route od ny-la; research/publications/C.1+od-freight-reliability,Forum F5-06,NPMRDS direct PTI measurement is still required,L2 standards-test fixture with NPMRDS and queueing sensitivity
B6-P1-MANAGED-LANE-PILOT,T1-CD,Planned,planned,C-D claims stay planned until metro span and weave capacity evidence exist,specs/2026-05-06-tier-standards.md,Forum F5-07,No metro span inventory or C-D capacity model,L1 metro T1 C-D needs ledger and L2 weave merge sensitivity
B6-P1-EV-REST-MITIGATION,T1-EV-TRUCK,Heuristic,heuristic,truck charging package can inform mitigation only with proxy label visible,route ev-analysis; data/ev-profiles.toml,Forum F5-07,Megawatt-class truck charger inventory is planned/proxy,L2 truck charge queue and outage scenario
B6-P1-EV-REST-MITIGATION,T1-EV-PASSENGER,Heuristic,heuristic,passenger charging package remains heuristic until authoritative uptime exists,route ev-analysis; data/ev-profiles.toml,Forum F5-07,Station inventory and uptime are not authoritative,L1 charger coverage artifact and L2 outage sensitivity
B6-P1-EV-REST-MITIGATION,T1-REST,Planned,planned,rest and truck parking mitigation cannot promote supply claims before inventory join,specs/2026-05-06-tier-standards.md,Forum F5-07,Rest-area and truck-parking inventory not joined,L1 rest and truck-parking gap report
B6-P2-INTERMODAL-DIVERSION,T1-INTERMODAL,Heuristic,heuristic,diversion package stays heuristic until commodity and terminal sensitivity are validated,gaps/intermodal.md; research/publications/C.2+national-max-flow,Forum F5-07,Single-commodity max-flow must be sensitivity-tested,L2 15-25 percent rail-eligible diversion sensitivity
B6-P2-INTERMODAL-DIVERSION,T2-RELIEF,Heuristic,held,relief value remains held until directional demand and per-dollar comparison are sourced,route flow; route invest; gaps/bottleneck.md,Forum F5-07,Peak V/C and directional demand need source labels,L2 T1 relief corridor investment comparison
B6-P2-RURAL-SPURS,T1-SPURS,Planned,planned,spur scope cannot promote until candidate locations and US-route capacity are sourced,gaps/resilience.md; crates/route-sim/src/scenarios/donner-closure.toml,Forum F5-07,Spur locations and US-route capacity are not selected,L1 spur candidate ledger and L2 closure scenario with alternate capacity
B6-P2-RURAL-SPURS,T2-RESILIENCE,Planned,planned,T2 resilience access remains planned until bridge and alternate-capacity evidence exists,specs/2026-05-06-tier-standards.md,Forum F5-07,Bridge and alternate-capacity evidence missing,L1 T2 alternate route inventory
B6-P2-RURAL-SPURS,T3-COVERAGE,Implemented,implemented,coverage artifact may be used only with artifact labels and remaining centroid caveat,route coverage; data/coverage-gaps.csv,Forum F5-07,Some county centroid artifacts remain labeled rather than solved,L1 coverage artifact regeneration test
B6-P2-RURAL-SPURS,T3-OPERATIONS,Planned,planned,T3 operations stay planned until regional feeder fixtures exist,specs/2026-05-06-tier-standards.md,Forum F5-07,No T3-specific SLA simulation fixtures,L2 regional feeder SLA and access scenario
B6-P2-T2-RELIEF,T2-RELIEF,Heuristic,held,no-delta relief scenarios cannot support benefit claims,route flow; route invest; gaps/bottleneck.md,Forum F5-08,Peak V/C and directional demand need source labels,L2 T1 relief corridor investment comparison with loaded stressor
B6-P2-T2-RELIEF,T2-RESILIENCE,Planned,planned,T2 resilience remains planned until alternate route evidence exists,specs/2026-05-06-tier-standards.md,Forum F5-07,Bridge and alternate-capacity evidence missing,L1 T2 alternate route inventory
