state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
texas,TX-SAMPLE-I35-DFW-AUS,I-35,Dallas-Fort Worth,Austin,TxDOT,interstate,T1,R,Texas Triangle trunk and statewide person/freight reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Replace sample with TxDOT source segments incident history and parallel-state-system analysis,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
texas,TX-SAMPLE-I10-SAT-HOU,I-10,San Antonio,Houston,TxDOT,interstate,T1,R,Triangle and Gulf access trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure alternate-route penalty and evacuation role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
texas,TX-SAMPLE-US287,US 287,Dallas-Fort Worth,Amarillo,TxDOT,US-highway,T2,R,Panhandle and plains freight connector plus interstate load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck movement restrictions and northern plains continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
texas,TX-SAMPLE-US83,US 83,Abilene,Rio Grande Valley,TxDOT,US-highway,T3,R,Rural west and border access continuity,SSF-004|SSF-006,heuristic-held,Validate rural isolation exposure and emergency access role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
texas,TX-SAMPLE-PORT-HOU,Port Houston access,Port Houston,Houston tier node,port-or-local,terminal-access,T4,,Gulf port terminal access and local friction candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing gate delay and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
texas,TX-SAMPLE-RANCH-M,example ranch-market state route,rural-a,rural-b,TxDOT,state-highway,M,,Maintained state route with no promoted service role in sample,SSF-008,source-needed,Keep in full inventory and document why no current T1/T2/T3/T4 role is assigned,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
california,CA-SAMPLE-I5,I-5,Sacramento,Los Angeles,Caltrans,interstate,T1,R,Statewide north-south trunk and freight/person reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate pass bottleneck incident history and state-route redundancy penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
california,CA-SAMPLE-CA99,SR 99,Sacramento,Bakersfield,Caltrans,state-highway,T1,R,Central Valley production and logistics trunk promise,SSF-002|SSF-003|SSF-004,heuristic-held,Validate state-highway trunk role asset condition and alternate capacity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
california,CA-SAMPLE-I80-DONNER,I-80,Sacramento,Reno gateway,Caltrans,interstate,T2,R,Mountain pass and Sierra gateway resilience connector,SSF-001|SSF-002|SSF-007,heuristic-held,Validate closure history alternate capacity and recovery-time evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
california,CA-SAMPLE-CA299,SR 299,Redding,Eureka,Caltrans,state-highway,T3,R,North coast access and wildfire/landslide resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate rural isolation closure history and recovery expectation,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
