route,source_pressure_type,current_tier,current_score,target_tier,intake_class,intake_action,selection_basis,source_artifact,next_artifact,optimizer_effect,validation_status
I-57,regional-upgrade-pressure,T3,49.6,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-19,regional-upgrade-pressure,T3,49.3,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-16,regional-upgrade-pressure,T3,48.7,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
US69,regional-upgrade-pressure,T3,48.4,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-71,regional-upgrade-pressure,T3,47.4,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-74,regional-upgrade-pressure,T3,47.2,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-630,regional-upgrade-pressure,T3,46.7,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-280,regional-upgrade-pressure,T3,46.1,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-105,regional-upgrade-pressure,T3,45.7,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-2,regional-upgrade-pressure,T3,45.7,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-480,regional-upgrade-pressure,T3,45.6,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-675,regional-upgrade-pressure,T3,45.5,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-8,regional-upgrade-pressure,T3,45.3,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-96,regional-upgrade-pressure,T3,45.2,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
US40,regional-upgrade-pressure,T3,45.1,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
US75,regional-upgrade-pressure,T3,45.1,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-215,regional-upgrade-pressure,T3,45.0,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I-464,regional-upgrade-pressure,T3,45.0,T2,bubble-up-t2-review,send-to-t2-contact-review,score-within-five-points-of-t2-threshold,data/tier-table.csv,data/tier-contact-witnesses.csv,lower-tier score pressure can reopen T2 only through contact gates,review
I610,demotion-pressure,T2,69.4,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I25,closure-demotion-pressure,T2,66.3,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 contact,data/t2-contact-closure.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I110,demotion-pressure,T2,65.6,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I65,closure-demotion-pressure,T2,64.9,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 contact,data/t2-contact-closure.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I270,closure-demotion-pressure,T2,64.3,T3,t3-regional-intake,accept-as-t3-regional-review,terminal-worthy endpoint role and exception type,data/t2-endpoint-closure.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I495,closure-demotion-pressure,T2,64.3,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 contact,data/t2-contact-closure.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I240,demotion-pressure,T2,62.3,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I24,closure-demotion-pressure,T2,61.5,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 contact,data/t2-contact-closure.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I680,demotion-pressure,T2,60.2,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
