state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
oregon,OR-SAMPLE-I5,I-5,Portland,Medford,ODOT,interstate,T1,R,Willamette-to-southern Oregon trunk and statewide reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure wildfire/snow recovery and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oregon,OR-SAMPLE-I84,I-84,Portland,Idaho gateway,ODOT,interstate,T1,R,Columbia Gorge freight trunk and eastern gateway promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate gorge closure wind/ice recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oregon,OR-SAMPLE-US97,US 97,Bend,Columbia gateway,ODOT,US-highway,T2,R,Central Oregon connector and I-5/I-84 load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate freight suitability winter exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oregon,OR-SAMPLE-US101,US 101,Coos Bay,Astoria,ODOT,US-highway,T3,R,Coastal rural access and tsunami/landslide resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate coastal isolation bridge exposure and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oregon,OR-SAMPLE-PORT-PDX,Portland port access,Portland terminals,Portland tier node,port-or-local,terminal-access,T4,,Columbia/Portland terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
oregon,OR-SAMPLE-X,example forest/local road,local-a,local-b,state-or-local,local-road,X,,Outside current state service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting local or forest access geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
alabama,AL-SAMPLE-I65,I-65,Mobile,Birmingham,ALDOT,interstate,T1,R,Port-to-inland trunk and statewide freight reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure hurricane evacuation and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
alabama,AL-SAMPLE-I20-I59,I-20/I-59,Mississippi gateway,Birmingham,ALDOT,interstate,T1,R,East-west interstate trunk and Appalachian/Gulf freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate interchange exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
alabama,AL-SAMPLE-US231,US 231,Huntsville,Dothan,ALDOT,US-highway,T2,R,North-south state-system connector and rural market access role,SSF-002|SSF-004|SSF-006,heuristic-held,Validate service-class continuity and rural access value,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
alabama,AL-SAMPLE-US82,US 82,Tuscaloosa,Montgomery gateway,ALDOT,US-highway,T3,R,Black Belt rural access and cross-state continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes and isolation penalties,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
alabama,AL-SAMPLE-PORT-MOB,Port of Mobile access,Port of Mobile,Mobile tier node,port-or-local,terminal-access,T4,,Gulf port terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints hurricane recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
alabama,AL-SAMPLE-MAINT,example maintained rural state route,rural-a,rural-b,ALDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
