link_id,page_url,link_url,link_family,link_status,evidence_acceptance_status,allowed_use,blocked_claims,next_action
EUR-GISCO-LINK-001,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/AIRP_SH.zip,airport_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-002,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/Airports-2013-SHP.zip,airport_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-003,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/Airports-2013.zip,airport_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-004,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/PORT_2009.zip,port_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-005,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/PORT_2009_SH.zip,port_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-006,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/PORT_2013.zip,port_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-007,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/PORT_2013_SH.zip,port_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-008,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/airp.zip,airport_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-009,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/documents/d/gisco/airp-pt-2024-gdb,airport_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
EUR-GISCO-LINK-010,https://ec.europa.eu/eurostat/web/gisco/geodata/transport-networks,https://ec.europa.eu/eurostat/documents/d/gisco/airp-pt-2024-gpkg,airport_package_link,road_endpoint_not_exposed,not-accepted,official page link inventory only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official road-link endpoint before source-row extraction
