state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
new-york,NY-SAMPLE-I87,I-87,New York City,Albany,NYSDOT,interstate,T1,R,Hudson spine trunk and downstate-to-capital reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident history bridge exposure and Hudson alternate penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-york,NY-SAMPLE-I90,I-90,Albany,Buffalo,NYSDOT,interstate,T1,R,Thruway/upstate trunk and Great Lakes gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate closure recovery winter exposure and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-york,NY-SAMPLE-NY17,NY 17 / I-86,Binghamton,Elmira,NYSDOT,state-highway-interstate,T2,R,Southern Tier connector and upstate redundancy role,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck reliability and alternate role to Thruway access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-york,NY-SAMPLE-US11,US 11,Watertown,Plattsburgh,NYSDOT,US-highway,T3,R,North Country rural and border access continuity,SSF-004|SSF-006,heuristic-held,Validate rural service nodes winter exposure and border access role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-york,NY-SAMPLE-PORT-NYNJ,Port/Cross-Hudson access,Newark gateway,New York City tier node,port-or-local,terminal-access,T4,,Port and cross-Hudson terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction bridge/tunnel restrictions and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-york,NY-SAMPLE-LOCAL-X,example local parkway segment,local-a,local-b,state-or-local,restricted-local-road,X,,Outside current freight/service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting restricted local geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
illinois,IL-SAMPLE-I55,I-55,Chicago,St. Louis gateway,IDOT,interstate,T1,R,Chicago-to-Metro-East statewide trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure winter work-zone risk and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
illinois,IL-SAMPLE-I57,I-57,Chicago,Cairo,IDOT,interstate,T1,R,Eastern/southern Illinois trunk and river confluence access promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate southern access river gateway and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
illinois,IL-SAMPLE-I74,I-74,Peoria,Champaign-Urbana,IDOT,interstate,T2,R,Central-state university and production connector,SSF-002|SSF-003|SSF-004,heuristic-held,Validate regional market role and fallback value for Chicago access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
illinois,IL-SAMPLE-US67,US 67,Quad Cities,Alton,IDOT,US-highway,T3,R,Western Illinois rural/river access connector,SSF-004|SSF-006,heuristic-held,Validate rural isolation and Mississippi access evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
illinois,IL-SAMPLE-PORT-CHI,Chicago intermodal/port access,Chicago terminals,Chicago tier node,terminal-or-local,terminal-access,T4,,Rail/intermodal/port terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing bottlenecks and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
illinois,IL-SAMPLE-LOCAL-M,example maintained state spur,local-a,local-b,IDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
