route,held_action_type,source_resolution_action,exception_type,required_evidence,next_artifact,optimizer_effect,validation_status
I195,graph-contact-repair,hold-for-graph-contact-repair,missing_graph_geometry,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I205,graph-contact-repair,hold-for-graph-contact-repair,missing_graph_geometry,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I22,graph-contact-repair,hold-for-graph-contact-repair,,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I24,parent-contact-validation,hold-for-parent-contact-or-demotion,,prove relief loop dual-route contact to parent trunk,data/t2-parent-contact-validation.csv,retain with parent contact; otherwise demote,review
I25,terminal-contact-validation,hold-for-terminal-contact-validation,regional_terminal,prove terminal endpoint plus at least one T1/T2 contact chain,data/t2-terminal-contact-validation.csv,retain as T2 only if terminal contact validates; otherwise demote,review
I270,terminal-exception-review,hold-for-terminal-exception,metro_beltway_relief,split route family or validate terminal-worthy endpoint exception,data/t2-terminal-contact-validation.csv,retain only validated terminal segment; demote unsplit local loop behavior,review
I285,relief-evidence-review,hold-for-relief-evidence-or-demotion,metro_beltway_relief,source-backed bottleneck or resilience relief evidence plus T1/T2 contact,data/t2-relief-evidence-docket.csv,retain as relief service only with evidence; otherwise demote,review
I295,graph-contact-repair,hold-for-graph-contact-repair,missing_graph_geometry,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I30,graph-contact-repair,hold-for-graph-contact-repair,,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I37,graph-contact-repair,hold-for-graph-contact-repair,,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I405,relief-evidence-review,hold-for-relief-evidence-or-demotion,metro_beltway_relief,source-backed bottleneck or resilience relief evidence plus T1/T2 contact,data/t2-relief-evidence-docket.csv,retain as relief service only with evidence; otherwise demote,review
I44,graph-contact-repair,hold-for-graph-contact-repair,,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I49,graph-contact-repair,hold-for-graph-contact-repair,,repair route geometry or split route family before tier decision,data/tier-contact-witnesses.csv,blocked from T2 regionalizer until contact evidence exists,review
I495,parent-contact-validation,hold-for-parent-contact-or-demotion,,prove relief loop dual-route contact to parent trunk,data/t2-parent-contact-validation.csv,retain with parent contact; otherwise demote,review
I65,terminal-contact-validation,hold-for-terminal-contact-validation,port_terminal,prove terminal endpoint plus at least one T1/T2 contact chain,data/t2-terminal-contact-validation.csv,retain as T2 only if terminal contact validates; otherwise demote,review
