state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
utah,UT-SAMPLE-I15,I-15,Salt Lake City,St. George,UDOT,interstate,T1,R,Wasatch Front to southern Utah trunk and intermountain freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure winter pass recovery and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
utah,UT-SAMPLE-I80,I-80,Nevada gateway,Wyoming gateway,UDOT,interstate,T1,R,Cross-state intermountain trunk and Salt Lake gateway promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure recovery alternate capacity and freight continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
utah,UT-SAMPLE-US89,US 89,Logan,Kanab,UDOT,US-highway,T2,R,State-system north-south connector and I-15 redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity seasonal exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
utah,UT-SAMPLE-US191,US 191,Moab,Vernal gateway,UDOT,US-highway,T3,R,Eastern Utah rural energy and recreation access continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes winter exposure and sparse-access penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
utah,UT-SAMPLE-SLC-AIR,Salt Lake airport access,Salt Lake airport,Salt Lake City tier node,airport-or-local,terminal-access,T4,,Airport cargo terminal and local access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction winter recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
utah,UT-SAMPLE-MAINT,example maintained canyon route,rural-a,rural-b,UDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-mexico,NM-SAMPLE-I25,I-25,Colorado gateway,Las Cruces,NMDOT,interstate,T1,R,North-south Rio Grande trunk and statewide freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure desert/winter recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-mexico,NM-SAMPLE-I40,I-40,Arizona gateway,Texas Panhandle gateway,NMDOT,interstate,T1,R,East-west desert trunk and Albuquerque gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate closure history wind/winter exposure and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-mexico,NM-SAMPLE-US54,US 54,El Paso gateway,Tucumcari,NMDOT,US-highway,T2,R,Southeast plains connector and interstate load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate freight suitability service-class continuity and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-mexico,NM-SAMPLE-US550,US 550,Albuquerque,Four Corners gateway,NMDOT,US-highway,T3,R,Northwest rural and energy-region access continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation emergency access and sparse-service exposure,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
