hierarchy_id,from_node,to_node,from_label,to_label,from_lon,from_lat,to_lon,to_lat,candidate_tier,service_role,need_class,readiness_basis,evidence_label,iteration_change,claim_boundary
IND-HIER2-T1-001,DEL,JAI,Delhi,Jaipur,77.21,28.61,75.79,26.91,T1,national logistics spine,Northwest logistics and capital-market access,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T1-002,JAI,AMD,Jaipur,Ahmedabad,75.79,26.91,72.57,23.02,T1,national logistics spine,Industrial corridor candidate,road_graph_source_needed;need_surface_source_needed,heuristic-held,kept from v1,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T1-003,AMD,MUM,Ahmedabad,Mumbai,72.57,23.02,72.88,19.08,T1,national logistics spine,Port hinterland and western industrial spine,road_graph_source_needed;port_node_source_needed;need_surface_source_needed,heuristic-held,repaired from fixture T4 misclassification to T1 candidate,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T1-004,MUM,PUN,Mumbai,Pune,72.88,19.08,73.86,18.52,T1,national logistics spine,Western metro-industrial continuity,road_graph_source_needed;need_surface_source_needed,heuristic-held,up-tiered from fixture T2 to keep metro-industrial trunk continuity,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T2-001,PUN,CHN,Pune,Chennai,73.86,18.52,80.27,13.08,T2,regional market connector,West-south market access candidate,road_graph_source_needed;constraint_source_needed,heuristic-held,kept from fixture as T2 with constraint hold,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T2-002,DEL,LKO,Delhi,Lucknow,77.21,28.61,80.95,26.85,T2,regional connector,North India regional access candidate,node_source_needed;need_surface_source_needed,heuristic-held,added north regional connector,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T2-003,CHN,BLR,Chennai,Bengaluru,80.27,13.08,77.59,12.97,T2,south industrial connector,South metro-industrial access candidate,node_source_needed;need_surface_source_needed,heuristic-held,added south industrial connector,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T3-001,AMD,KDL,Ahmedabad,Kandla,72.57,23.02,70.22,23.03,T3,port access feeder,Western port access candidate,port_node_source_needed;need_surface_source_needed,heuristic-held,added separate port feeder so trunk spine is not downgraded,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T3-002,MUM,JNP,Mumbai,Jawaharlal Nehru Port,72.88,19.08,72.95,18.95,T3,terminal access feeder,Mumbai port terminal access candidate,port_node_source_needed;terminal_source_needed,heuristic-held,added terminal feeder,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T3-003,CHN,ENR,Chennai,Ennore,80.27,13.08,80.32,13.25,T3,terminal access feeder,Chennai port cluster access candidate,port_node_source_needed;terminal_source_needed,heuristic-held,added terminal feeder,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
IND-HIER2-T3-004,PUN,HYD,Pune,Hyderabad,73.86,18.52,78.49,17.39,T3,regional access feeder,Deccan regional access candidate,node_source_needed;constraint_source_needed,heuristic-held,added inland access candidate,not an official Indian corridor SLA construction ROI eligibility compliance endorsement or validation claim
