candidate_id,candidate_url,candidate_basis,probe_method,http_status,content_type,content_length,endpoint_status,evidence_acceptance_status,allowed_use,blocked_claims,next_action
EUR-ROAD-ENDPOINT-001,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/TRANSPORT_2013.zip,geodatafiles naming guess from GISCO transport source family,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-002,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/TRANSPORT_2013_SH.zip,geodatafiles shapefile naming guess from GISCO transport source family,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-003,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/TRAN_2013.zip,abbreviated transport naming guess,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-004,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/TRAN_2013_SH.zip,abbreviated transport shapefile naming guess,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-005,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/ROAD_2013.zip,road-link package naming guess,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-006,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/ROAD_2013_SH.zip,road-link shapefile naming guess,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-007,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/RD_2013.zip,abbreviated road package naming guess,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-008,https://ec.europa.eu/eurostat/cache/GISCO/geodatafiles/RD_2013_SH.zip,abbreviated road shapefile naming guess,http-head,404,text/html; charset=iso-8859-1,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-009,https://ec.europa.eu/eurostat/documents/d/gisco/transport-2013-sh,new Eurostat document route naming guess,http-head,404,text/html;charset=UTF-8,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
EUR-ROAD-ENDPOINT-010,https://ec.europa.eu/eurostat/documents/d/gisco/road-2013-sh,new Eurostat road document route naming guess,http-head,404,text/html;charset=UTF-8,,candidate_not_found_not_accepted,not-accepted,endpoint acquisition triage only,official_network;official_corridor_designation;member_state_approval;route_designation;source_row_validation;fixture_replacement;parsed_adapter;geometry_acceptance;topology_proof;map_overlay;construction_ready;guaranteed_sla;travel_time_proof;delivery_commitment;numeric_roi;roi;eligibility;compliance;endorsement;validation;external_validation;public_readiness;external_readiness;internal_adapter_proof,find an official GISCO road-link endpoint before source-row extraction
