site_id,source_name,source_url,source_kind,access_health,ingestion_status,history_status,last_checked,blocking_gap,next_step
T1X-I35-I80,Iowa DOT 511 ArcGIS,https://iowadot.gov/travel-tools/iowa-511/511-data-feeds,live_event_feed,live,implemented,snapshot_only,2026-05-09,"Live current-state snapshots import, but historical archive/polling is still needed for annual rates","Schedule snapshot accumulation or obtain Iowa DOT event archive"
T1X-I40-I75,TDOT SmartWay Events,https://spatial.tdot.tn.gov/arcgis/rest/services/Smartway/Smartway_Events/FeatureServer,live_event_feed,blocked_query,scaffolded,unknown,2026-05-09,"FeatureServer/MapServer metadata is public, but query attempts time out or return ArcGIS query errors","Tune endpoint/export query or request TDOT event export"
T1X-I10-I35,DriveTexas API,https://api.drivetexas.org/,live_event_feed,requires_key,not_started,unknown,2026-05-09,"DriveTexas docs shell is public, but direct API incident/road-condition paths returned 401; field mapping and API behavior are not integrated","Obtain DriveTexas API credentials, then probe event schema and build importer"
T1X-I75-I80,Ohio OHGO API,https://publicapi.ohgo.com/,live_event_feed,requires_key,not_started,unknown,2026-05-09,"OHGO docs require registration/API key, and direct incidents request returned 401; incidents/construction mapping is not integrated","Register for OHGO API key, then probe incidents/construction endpoints and build importer"
T1X-I90-I95,MassDOT highway data feeds,https://www.mass.gov/info-details/highway-data-for-developers,live_event_feed,requires_access,not_started,unknown,2026-05-09,"API access and incident feed details may require request","Request/verify MassDOT roadway incident feed access"
T1X-I10-I95,FL511 API,https://fl511.com/developers/doc,live_event_feed,requires_key,not_started,unknown,2026-05-09,"Developer key and hurricane closure history path are needed","Obtain FL511 developer access and map event schema"
T1X-I5-I10,Caltrans PeMS,https://dot.ca.gov/programs/traffic-operations/mpr/pems-source,live_event_feed,requires_account,not_started,unknown,2026-05-09,"PeMS account required for incidents/lane closures and detector data","Obtain PeMS account or alternate Caltrans export"
T1X-I5-I80,511 SF Bay Open Data,https://511.org/open-data,live_event_feed,requires_key,not_started,archive_possible,2026-05-09,"511 SF Bay open-data portal says data is free using a token, and direct traffic-event API requests returned 401; traffic events and archives are not integrated","Obtain 511 SF Bay token, then probe traffic event/archive API and build importer"
T1X-I5-I90,WSDOT Traveler API,https://www.wsdot.wa.gov/traffic/api/,live_event_feed,requires_key,not_started,unknown,2026-05-09,"Traveler API docs/help are public, but HighwayAlerts JSON endpoint returned 401 without an access code; incident schema and bridge restrictions are not integrated","Obtain WSDOT API access code, then probe HighwayAlerts and bridge restriction feeds"
T1X-I35-I90,MnDOT 511,https://511mn.org/help/About.html,live_event_feed,blocked_access,not_started,unknown,2026-05-09,"511 web app is public and exposes CARS backend references, but direct CARS API/GraphQL requests returned 403; archive/API path is not integrated","Request MnDOT/CARS export access or identify an allowed public data endpoint"
T1X-I40-I95,NCDOT DriveNC/TIMS,https://www.ncdot.gov/divisions/highways/Pages/DriveNC-FAQ.aspx,live_event_feed,identified,not_started,unknown,2026-05-09,"DriveNC/TIMS source identified, but export/API path is not integrated","Find TIMS/DriveNC export path and storm closure archive"
T1X-I75-I90,MDOT ITS data,https://www.michigan.gov/mdot/travel/safety/efforts/its/its-data,live_event_feed,identified,not_started,unknown,2026-05-09,"MDOT RIDE and OHGO multi-state join not integrated","Probe MDOT RIDE events and OHGO join strategy"
T1X-I5-I40,Caltrans PeMS,https://dot.ca.gov/programs/traffic-operations/mpr/pems-source,live_event_feed,requires_account,not_started,unknown,2026-05-09,"PeMS account required; desert detour capacity also needs separate proof","Obtain PeMS account or alternate Caltrans export"
T1X-I80-I90,INDOT travel information,https://www.in.gov/indot/travel-conditions/travel-information/,live_event_feed,identified,not_started,unknown,2026-05-09,"INDOT CARS/511 and Ohio turnpike split-zone model not integrated","Find INDOT CARS export/API and turnpike closure archive"
ALL,FHWA Freight Performance Measures,https://ops.fhwa.dot.gov/freight/fpcb/performance_measures.aspx,travel_time_reliability,identified,not_started,historical_available,2026-05-09,"FPM/NPMRDS reliability data is needed to validate PTI/SLA impacts","Acquire FPM/NPMRDS corridor travel-time reliability inputs"
ALL,FHWA NPMRDS work-zone method,https://ops-dr.fhwa.dot.gov/publications/fhwahop20028/index.htm,method_reference,live,documented,historical_method,2026-05-09,"Method exists but state work-zone activity databases still need joins","Use method to join work-zone events to NPMRDS speed/travel-time traces"
