tier,route,score,rubric_version,estimated,confidence,score_confidence,confidence_label,score_confidence_label
T1,I-95,96.8,v1.4,true,0.75,0.75,Medium,Medium
T1,I-10,95.0,v1.4,true,0.77,0.78,Medium,Medium
T1,I-5,92.5,v1.4,true,0.76,0.78,Medium,Medium
T1,I-80,89.0,v1.4,true,0.76,0.80,Medium,Medium
T1,I-75,87.1,v1.4,true,0.76,0.76,Medium,Medium
T1,I-69,84.7,v1.4,true,0.76,0.75,Medium,Medium
T1,I-90,84.6,v1.4,true,0.76,0.81,Medium,Medium
T1,I-35,81.5,v1.4,true,0.76,0.77,Medium,Medium
T1,I-84,81.2,v1.4,true,0.76,0.80,Medium,Medium
T1,I-40,78.4,v1.4,true,0.76,0.78,Medium,Medium
T1,I-70,77.9,v1.4,true,0.76,0.80,Medium,Medium
T1,I-64,77.2,v1.4,true,0.75,0.76,Medium,Medium
T1,I-94,76.6,v1.4,true,0.72,0.81,Medium,Medium
T1,I-20,75.1,v1.4,true,0.75,0.76,Medium,Medium
T1,I-395,71.7,v1.4,true,0.75,0.75,Medium,Medium
T1,I-55,71.0,v1.4,true,0.75,0.77,Medium,Medium
T1,I-45,70.2,v1.4,true,0.75,0.75,Medium,Medium
T2,I-610,69.4,v1.4,true,0.73,0.72,Medium,Medium
T2,US287,68.7,v1.4,true,0.55,0.77,Low,Medium
T2,I-195,67.4,v1.4,true,0.75,0.77,Medium,Medium
T2,I-85,67.4,v1.4,true,0.72,0.79,Medium,Medium
T2,I-110,65.4,v1.4,true,0.75,0.77,Medium,Medium
T2,I-15,65.4,v1.4,true,0.76,0.79,Medium,Medium
T2,I-25,64.9,v1.4,true,0.76,0.80,Medium,Medium
T2,I-495,64.3,v1.4,true,0.72,0.79,Medium,Medium
T2,I-65,63.4,v1.4,true,0.72,0.78,Medium,Medium
T2,I-285,63.3,v1.4,true,0.72,0.76,Medium,Medium
T2,I-270,63.1,v1.4,true,0.72,0.75,Medium,Medium
T2,I-240,62.3,v1.4,true,0.72,0.76,Medium,Medium
T2,I-405,61.7,v1.4,true,0.72,0.77,Medium,Medium
T2,I-24,61.5,v1.4,true,0.72,0.77,Medium,Medium
T2,I-59,60.9,v1.4,true,0.72,0.80,Medium,Medium
T2,I-30,60.8,v1.4,true,0.72,0.78,Medium,Medium
T2,I-680,59.4,v1.4,true,0.70,0.78,Medium,Medium
T2,I-49,58.8,v1.4,true,0.72,0.79,Medium,Medium
T2,I-81,58.5,v1.4,true,0.72,0.78,Medium,Medium
T2,I-44,58.4,v1.4,true,0.72,0.80,Medium,Medium
T2,I-77,58.2,v1.4,true,0.72,0.79,Medium,Medium
T2,I-205,56.9,v1.4,true,0.70,0.75,Medium,Medium
T2,I-225,55.8,v1.4,true,0.70,0.76,Medium,Medium
T2,I-295,55.0,v1.4,true,0.72,0.80,Medium,Medium
T2,I-635,54.9,v1.4,true,0.70,0.75,Medium,Medium
T2,I-664,54.8,v1.4,true,0.68,0.72,Medium,Medium
T2,US30,54.5,v1.4,true,0.63,0.81,Medium,Medium
T2,US6,54.0,v1.4,true,0.52,0.81,Low,Medium
T2,US70,53.8,v1.4,true,0.54,0.77,Low,Medium
T2,US90,53.8,v1.4,true,0.54,0.77,Low,Medium
T2,I-264,53.4,v1.4,true,0.75,0.75,Medium,Medium
T2,I-76,53.3,v1.4,true,0.72,0.81,Medium,Medium
T2,I-220,53.2,v1.4,true,0.73,0.74,Medium,Medium
T2,I-29,52.5,v1.4,true,0.60,0.81,Medium,Medium
T2,I-22,52.1,v1.4,true,0.72,0.80,Medium,Medium
T2,US2,51.7,v1.4,true,0.52,0.78,Low,Medium
T2,I-275,51.4,v1.4,true,0.72,0.81,Medium,Medium
T2,US80,51.4,v1.4,true,0.54,0.76,Low,Medium
T2,US83,51.0,v1.4,true,0.52,0.79,Low,Medium
T2,I-37,50.6,v1.4,true,0.72,0.80,Medium,Medium
T3,I-57,49.6,v1.4,true,0.60,0.83,Low,Medium
T3,I-19,49.3,v1.4,true,0.71,0.74,Medium,Medium
T3,I-16,48.7,v1.4,true,0.72,0.80,Medium,Medium
T3,US69,48.4,v1.4,true,0.55,0.78,Low,Medium
T3,I-71,47.4,v1.4,true,0.60,0.83,Low,Medium
T3,I-74,47.2,v1.4,true,0.60,0.82,Low,Medium
T3,I-630,46.7,v1.4,true,0.70,0.71,Medium,Medium
T3,I-105,45.7,v1.4,true,0.70,0.78,Medium,Medium
T3,I-2,45.7,v1.4,true,0.72,0.80,Medium,Medium
T3,I-280,45.7,v1.4,true,0.60,0.81,Low,Medium
T3,I-480,45.6,v1.4,true,0.72,0.80,Medium,Medium
T3,I-675,45.5,v1.4,true,0.72,0.73,Medium,Medium
T3,I-8,45.3,v1.4,true,0.74,0.80,Medium,Medium
T3,I-96,45.2,v1.4,true,0.60,0.83,Low,Medium
T3,US40,45.1,v1.4,true,0.51,0.83,Low,Medium
T3,US75,45.1,v1.4,true,0.54,0.77,Low,Medium
T3,I-464,45.0,v1.4,true,0.75,0.77,Medium,Medium
T3,US60,44.9,v1.4,true,0.54,0.76,Low,Medium
T3,I-595,44.4,v1.4,true,0.63,0.75,Medium,Medium
T3,US13,44.2,v1.4,true,0.54,0.76,Low,Medium
T3,US412,43.9,v1.4,true,0.52,0.80,Low,Medium
T3,US59,43.9,v1.4,true,0.54,0.77,Low,Medium
T3,US62,43.9,v1.4,true,0.51,0.82,Low,Medium
T3,I-215,43.8,v1.4,true,0.72,0.74,Medium,Medium
T3,US50,43.5,v1.4,true,0.51,0.82,Low,Medium
T3,I-78,43.3,v1.4,true,0.60,0.83,Low,Medium
T3,I-4,43.1,v1.4,true,0.60,0.82,Low,Medium
T3,I-540,43.1,v1.4,true,0.72,0.77,Medium,Medium
T3,I-375,43.0,v1.4,true,0.53,0.82,Low,Medium
T3,US52,42.6,v1.4,true,0.51,0.83,Low,Medium
T3,I-79,42.2,v1.4,true,0.58,0.82,Low,Medium
T3,I-430,42.0,v1.4,true,0.70,0.72,Medium,Medium
T3,I-470,42.0,v1.4,true,0.70,0.82,Medium,Medium
T3,US61,41.8,v1.4,true,0.54,0.76,Low,Medium
T3,US160,41.5,v1.4,true,0.51,0.81,Low,Medium
T3,US36,41.5,v1.4,true,0.51,0.82,Low,Medium
T3,US58,41.5,v1.4,true,0.54,0.75,Low,Medium
T3,I-820,41.4,v1.4,true,0.70,0.75,Medium,Medium
T3,US1,41.4,v1.4,true,0.51,0.82,Low,Medium
T3,I-581,41.1,v1.4,true,0.66,0.81,Medium,Medium
T3,US290,41.0,v1.4,true,0.54,0.76,Low,Medium
T3,US85,40.8,v1.4,true,0.51,0.83,Low,Medium
T3,I-515,40.6,v1.4,true,0.65,0.71,Medium,Medium
T3,I-26,40.2,v1.4,true,0.72,0.82,Medium,Medium
T3,US12,40.0,v1.4,true,0.51,0.82,Low,Medium
T3,I-82,39.8,v1.4,true,0.75,0.80,Medium,Medium
T3,I-290,39.6,v1.4,true,0.60,0.82,Low,Medium
T3,I-287,39.4,v1.4,true,0.60,0.83,Low,Medium
T3,I-410,39.4,v1.4,true,0.64,0.73,Medium,Medium
T3,I-575,39.4,v1.4,true,0.72,0.75,Medium,Medium
T3,US51,39.2,v1.4,true,0.54,0.75,Low,Medium
T3,I-475,39.1,v1.4,true,0.72,0.77,Medium,Medium
T3,I-459,38.8,v1.4,true,0.70,0.74,Medium,Medium
T3,I-165,38.6,v1.4,true,0.70,0.80,Medium,Medium
T3,I-17,38.5,v1.4,true,0.70,0.81,Medium,Medium
T3,US77,38.4,v1.4,true,0.52,0.81,Low,Medium
T3,US19,38.3,v1.4,true,0.51,0.82,Low,Medium
T3,I-440,37.9,v1.4,true,0.72,0.76,Medium,Medium
T3,US78,37.9,v1.4,true,0.51,0.82,Low,Medium
T3,I-565,37.8,v1.4,true,0.72,0.75,Medium,Medium
T3,US67,37.7,v1.4,true,0.51,0.82,Low,Medium
T3,US98,37.6,v1.4,true,0.51,0.82,Low,Medium
T3,I-684,37.4,v1.4,true,0.58,0.82,Low,Medium
T3,US49,37.3,v1.4,true,0.54,0.75,Low,Medium
T3,I-88,37.0,v1.4,true,0.60,0.82,Low,Medium
T3,US64,37.0,v1.4,true,0.51,0.82,Low,Medium
T3,I-310,36.9,v1.4,true,0.56,0.73,Low,Medium
T3,US180,36.8,v1.4,true,0.51,0.82,Low,Medium
T3,I-210,36.7,v1.4,true,0.58,0.82,Low,Medium
T3,I-87,36.7,v1.4,true,0.60,0.83,Low,Medium
T3,US11,36.7,v1.4,true,0.51,0.82,Low,Medium
T3,US460,36.4,v1.4,true,0.54,0.74,Low,Medium
T3,US9,35.8,v1.4,true,0.54,0.76,Low,Medium
T3,US17,35.6,v1.4,true,0.54,0.76,Low,Medium
T3,I-269,35.5,v1.4,true,0.72,0.79,Medium,Medium
T3,I-66,35.5,v1.4,true,0.70,0.78,Medium,Medium
T3,US63,35.4,v1.4,true,0.51,0.81,Low,Medium
T3,US71,35.2,v1.4,true,0.51,0.82,Low,Medium
T3,I-155,34.7,v1.4,true,0.72,0.78,Medium,Medium
T3,I-86,34.5,v1.4,true,0.60,0.81,Low,Medium
T3,I-676,34.4,v1.4,true,0.54,0.83,Low,Medium
T3,I-985,34.4,v1.4,true,0.72,0.76,Medium,Medium
T3,I-670,34.3,v1.4,true,0.70,0.78,Medium,Medium
