tier,route,region_id,segment_bundle_id,stitch_group_id,member_count,blocker_count,blocker_statuses,affected_states,affected_edge_ids,source_contract,source_action,next_artifact,optimizer_effect,validation_status
T2,I220,component-0,US.HWYBUNDLE.5F57C12B12BEE8A8,US.HWYSTITCH.39DF3357700FA13B,4,4,pavement-repair-required,TX,674;675;676;677,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement repair debt for failing member segments,data/tier-pavement-docket.csv,bundle remains service-addressable while pavement repair debt is priced and paid before SLA or transit readiness claims,review
T2,I220,component-0,US.HWYBUNDLE.5FA9BA2B1304E6EB,US.HWYSTITCH.398D8A576FCA2AE8,10,10,pavement-repair-required,LA,664;665;666;667;668;669;670;671;672;673,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement repair debt for failing member segments,data/tier-pavement-docket.csv,bundle remains service-addressable while pavement repair debt is priced and paid before SLA or transit readiness claims,review
T2,US83,component-0,US.HWYBUNDLE.621B7145F38F9B40,US.HWYSTITCH.A7EE8F570E94253D,18,18,pavement-source-needed,ND;SD;TX,12126;12127;12128;12129;12130;12131;12132;12133;12134;12135;12136;12137;12138;12139;12140;12141;12142;12143,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement evidence debt for affected member edges,data/standards-l1-inventory.csv,bundle remains service-addressable while pavement source debt is acquired and converted to pass or repair debt,review
T2,US80,component-0,US.HWYBUNDLE.621B7445F38FA059,US.HWYSTITCH.A7EE8C570E942024,32,32,pavement-source-needed,AL;GA;LA;NM;TX,12023;12024;12025;12026;12027;12028;12029;12030;12031;12032;12033;12034;12035;12036;12037;12038;12039;12040;12041;12042;12043;12044;12045;12046;12047;12048;12049;12050;12051;12052;12053;12054,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement evidence debt for affected member edges,data/standards-l1-inventory.csv,bundle remains service-addressable while pavement source debt is acquired and converted to pass or repair debt,review
T2,US30,component-0,US.HWYBUNDLE.623A0A45F3A99CCA,US.HWYSTITCH.A8140E570EB41947,117,117,pavement-source-needed,IA;ID;IN;NE;OH;OR;PA;WY,10084;10085;10086;10087;10088;10089;10090;10091;10092;10093;10094;10095;10096;10097;10098;10099;10100;10101;10102;10103;10104;10105;10106;10107;10108;10109;10110;10111;10112;10113;10114;10115;10116;10117;10118;10119;10120;10121;10122;10123;10124;10125;10126;10127;10128;10129;10130;10131;10132;10133;10134;10135;10136;10137;10138;10139;10140;10141;10142;10143;10144;10145;10146;10147;10148;10149;10150;10151;10152;10153;10154;10155;10156;10157;10158;10159;10160;10161;10162;10163;10164;10165;10166;10167;10168;10169;10170;10171;10172;10173;10174;10175;10176;10177;10178;10179;10180;10181;10182;10183;10184;10185;10186;10187;10188;10189;10190;10191;10192;10193;10194;10195;10196;10197;10198;10199;10200,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement evidence debt for affected member edges,data/standards-l1-inventory.csv,bundle remains service-addressable while pavement source debt is acquired and converted to pass or repair debt,review
T2,US70,component-0,US.HWYBUNDLE.62480245F3B5CC8E,US.HWYSTITCH.A80676570EA88CA3,54,54,pavement-source-needed,AR;NC;NM;TX,11709;11710;11711;11712;11713;11714;11715;11716;11717;11718;11719;11720;11721;11722;11723;11724;11725;11726;11727;11728;11729;11730;11731;11732;11733;11734;11735;11736;11737;11738;11739;11740;11741;11742;11743;11744;11745;11746;11747;11748;11749;11750;11751;11752;11753;11754;11755;11756;11757;11758;11759;11760;11761;11762,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement evidence debt for affected member edges,data/standards-l1-inventory.csv,bundle remains service-addressable while pavement source debt is acquired and converted to pass or repair debt,review
T2,US287,component-0,US.HWYBUNDLE.9B011ADD0E34D674,US.HWYSTITCH.44FC24EDF6AB52E3,71,71,pavement-source-needed,CO;MT;TX;WY,9924;9925;9926;9927;9928;9929;9930;9931;9932;9933;9934;9935;9936;9937;9938;9939;9940;9941;9942;9943;9944;9945;9946;9947;9948;9949;9950;9951;9952;9953;9954;9955;9956;9957;9958;9959;9960;9961;9962;9963;9964;9965;9966;9967;9968;9969;9970;9971;9972;9973;9974;9975;9976;9977;9978;9979;9980;9981;9982;9983;9984;9985;9986;9987;9988;9989;9990;9991;9992;9993;9994,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement evidence debt for affected member edges,data/standards-l1-inventory.csv,bundle remains service-addressable while pavement source debt is acquired and converted to pass or repair debt,review
T2,I110,component-0,US.HWYBUNDLE.D6B01122CB05A1BA,US.HWYSTITCH.351D3E0521E6500D,2,2,pavement-repair-required,CA,200;209,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement repair debt for failing member segments,data/tier-pavement-docket.csv,bundle remains service-addressable while pavement repair debt is priced and paid before SLA or transit readiness claims,review
T2,I110,component-0,US.HWYBUNDLE.D6B6E222CB0B708B,US.HWYSTITCH.3516ED0521E15ABC,2,2,pavement-repair-required,AL,196;197,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement repair debt for failing member segments,data/tier-pavement-docket.csv,bundle remains service-addressable while pavement repair debt is priced and paid before SLA or transit readiness claims,review
T2,I110,component-0,US.HWYBUNDLE.D6BA4122CB0E47CF,US.HWYSTITCH.35130E0521DDA9F8,2,2,pavement-repair-required,NM,194;195,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement repair debt for failing member segments,data/tier-pavement-docket.csv,bundle remains service-addressable while pavement repair debt is priced and paid before SLA or transit readiness claims,review
T2,I110,component-0,US.HWYBUNDLE.D6C11122CB1414ED,US.HWYSTITCH.350C3E0521D7DCDA,10,10,pavement-repair-required,LA,198;199;201;202;203;204;205;206;207;208,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement repair debt for failing member segments,data/tier-pavement-docket.csv,bundle remains service-addressable while pavement repair debt is priced and paid before SLA or transit readiness claims,review
T2,US2,component-0,US.HWYBUNDLE.E4A6273E8ADBE8F1,US.HWYSTITCH.F16593DBB678767A,8,8,pavement-source-needed,MN;WA;WI,9371;9372;9373;9374;9375;9376;9377;9378,HPMS IRI joined to T2 segment candidates plus state pavement condition feeds where available,price pavement evidence debt for affected member edges,data/standards-l1-inventory.csv,bundle remains service-addressable while pavement source debt is acquired and converted to pass or repair debt,review
